slug,amount,currency,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age
ant-design-blazor,263.23,USD,15,0,Ant Design Blazor,技术型,open source,38,12,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
community-repair-fund,1085.0,USD,6,1,Community Repair Fund,公益型,"chicago, evanston, illinois, midwestern usa, usa",28,3,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0
schoolhouse,170.0,USD,3,1,schoolhouse.world,教育型,"civic tech, education, learning, online, tutoring",34,1,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0
wwwdxmarathoncom,1825.0,USD,18,0,CQ DX Marathon Program,技术型,,14,14,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
camerakit-android,335.0,USD,14,0,CameraKit-Android,技术型,"android, android-library, c-plus-plus, camera, camera-api, capture-video, captured-images, java, native, ndk, performance, open source",61,10,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
memos,677.23,USD,4,0,Memos,技术型,open source,25,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
nodejs-mobile,8015.0,USD,5,1,Node.js Mobile,技术型,"open source, javascript, nodejs, mobile app development, ios, android",18,2,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.0
mudlet,844.34,USD,7,1,Mudlet,技术型,"mud, open source, text-adventure, text-based, multi-user-dungeon, online",28,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
wiad-pittsburgh,17169.55,USD,38,0,World IA Day Pittsburgh,技术型,"worldiaday, information architecture, pittsburgh, ux event",24,19,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.0
react-google-maps-api,340.0,USD,5,2,React Google Maps Api,技术型,open source,26,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
algorithm-visualizer,68.0,USD,14,0,algorithm-visualizer,技术型,open source,59,8,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0
sfcommunitysupport,3600.0,USD,21,0,sf community support,公益型,"california, covid, covid-19, mutual aid, resource, san francisco, usa, western usa",32,16,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
swarmpit,990.0,USD,11,0,Swarmpit,技术型,,44,8,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
otree,120.0,USD,5,2,oTree,技术型,,24,1,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0
futurecoder,362.0,USD,11,2,futurecoder,教育型,"open source, python, education",25,8,Unknown,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0
librepcb,1350.0,USD,8,0,LibrePCB,技术型,open source,23,4,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
reqnroll,2530.0,USD,9,0,Reqnroll,技术型,"open source, bdd-framework, bdd, dotnet, cucumber",24,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
mue,48.67,USD,8,0,Mue,技术型,"open source, new-tab, fast, privacy, backgrounds, react, javascript",25,1,GB,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2.0
lexington-tool-library,18336.14,USD,18,1,Lexington Tool Library,公益型,"library of things, community, tool library, mutual aid",23,9,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
ypc-support-fund,68232.4,USD,7,0,YPC Support Fund,公益型,"movement, youth power, intergenerational, community",1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
games-on-whales,2576.0,USD,19,1,Games on Whales,技术型,"open source, rust, c++, streaming, videogames, docker",25,15,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
greenspell,2807.0,USD,34,2,Greenspell Organization,公益型,"holistic health, community wellness, herbal medicine, herbalism, community education, ecological education, free clinic, community",32,32,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
chrome-react-ai,124246.1,USD,14,0,React and GenAI,技术型,"other, open source",32,8,Unknown,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5.0
wwcodesantiago,5752.09,USD,10,0,WWCode Santiago,技术型,"wwcode, meetup, diversity in tech",18,2,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0
simplcommerce,405.0,USD,8,0,SimplCommerce,技术型,"angularjs, aspnetcore, cross-platform, csharp, dotnetcore, ecommerce, entity-framework-core, modular, netcore, shopping-cart, open source",45,6,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
rhash,238.0,USD,4,0,RHash,技术型,open source,28,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
wewrite-app,905.0,USD,15,3,WeWrite App,技术型,"app, writing, wiki, app development, rust-lang, ios-app, community",45,7,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
bcma,26930.0,USD,8,0,Belmont-Cragin Mutual Aid,公益型,"chicago, community, illinois, midwestern usa, mutual aid, usa",28,3,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
flutter_easy_localization,370.0,USD,9,0,Easy Localization,技术型,"flutter, flutter-apps, globalization, i18, i18n, i18n-alternative, internationalization, json, json-files, json-localization, locale, locale-gen, locales, locales-translation, localization, localization-kit, localization-tool, localization-using-json-files, translated-keys, translation, open source",36,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
iplug2,33211.97,USD,6,0,iPlug2 Developers,技术型,"open source, audio, plug-ins, vst, audiounit, webassembly",30,2,DE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4.0
open-chemistry,23597.68,USD,15,0,Open Chemistry,技术型,"open source, science, association, hacktoberfest, chemistry",37,10,Unknown,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,6.0
eslint-plugin-import,7002.01,USD,10,0,eslint-plugin-import,技术型,open source,49,5,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
news-android,71.0,USD,5,0,News,技术型,open source,28,3,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
entropic,333.0,USD,8,0,entropic,技术型,,44,6,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
world-ia-day-new-york-city,4617.7,USD,15,0,World IA Day New York City,技术型,coop,47,10,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
respec,1480.0,USD,15,0,respec,技术型,"javascript, pre-processor, respec, w3c, w3c-specification, web-standards, open source",43,9,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,6.0
googlecl,750.0,USD,4,1,GoogleCL,技术型,open source,30,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
joomla-cms,380.0,USD,6,0,The Joomla! Project,技术型,open source,30,3,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0
eruda,134.72,USD,58,0,eruda,技术型,"console, debugger, developer-tools, eruda, mobile, open source",22,13,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
rete,390.0,USD,13,0,Rete.js,技术型,"javascript, visual programming, programming, open source",31,9,Other,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,7.0
sinytra,220.0,USD,13,0,Sinytra,技术型,"open source, java, minecraft, modding",21,8,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
5wc24,1228.55,USD,33,0,5 Digit World Cup 2024,技术型,community,31,25,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
wordpress-sf,11122.27,USD,15,0,WordPress SFO,技术型,"wordpresss, tech, web development, san francisco, meetups",47,6,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0
openscapes,33658.75,USD,23,2,Openscapes,教育型,"climate, education, environment, mentoring",3,3,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0
sceneview,4335.8,USD,21,4,Sceneview,技术型,open source,15,15,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
wbds-la,18050.46,USD,31,0,WBDS LA,教育型,"artifical intelligence, civic tech, community, conference, data science, latin america, networking, online, research, workshops",6,6,Unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3.0
kube-hetzner,1652.24,USD,10,0,Kube Hetzner,技术型,open source,32,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
the-mycelium-network,295.0,USD,5,7,The Mycelium Network,技术型,"open source, community, education",27,2,Other,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0
universal-router,207.0,USD,8,0,Universal Router,技术型,open source,24,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0
chaoss-africa,199207.86,USD,21,2,CHAOSS Africa,公益型,"civic tech, global, health, linux, online, open source",6,7,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0
centrifugal,3194.26,USD,9,6,Centrifugal,技术型,open source,33,7,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
mobx-react-form,7110.0,USD,7,0,mobx-react-form,技术型,"form, mobx, observables, react, reactive, state, validation, javascript",22,4,Unknown,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7.0
vignette,380.69,USD,19,7,Vignette,技术型,"open source, virtual-streaming, vtuber, face-tracking, ai",23,7,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
gab,872.1,USD,6,0,GAwesomeBot,技术型,"open source, discord, discord bot, bot",33,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
change-waco,51000.0,USD,8,0,ChangeWaco,公益型,"coalition, social justice, southern usa, texas, usa, waco",3,3,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
seoul-ios-meetup,651.01,USD,10,0,Seoul iOS Meetup,技术型,"ios, development, mobile app development, programming, swift, meetup, korea, seoul, community",29,6,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0
dexiejs,1276.0,USD,4,0,Dexie.js,技术型,"open source, javascript",24,2,Other,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2.0
handycontrol,291.0,USD,6,0,HandyControl,技术型,"color-picker, control, csharp, gif, imagebrowser, style, tabcontrol, wpf, wpf-controls, wpf-ui, xaml, open source",30,3,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0
dockle,1845.0,USD,7,0,Dockle,技术型,open source,40,5,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
jetbrains-one-dark-theme,340.0,USD,10,0,JetBrains One Dark Theme,技术型,open source,51,7,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
bagisto,304.0,USD,16,2,Bagisto - Laravel eCommerce,技术型,"ecommerce-framework, laravel, php, vue, open source, ecommerce, multi-source inventory, laravel ecommerce, laravel pos, open source ecommerce framework, multi-tenant saas",38,11,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
react-admin,121.0,USD,5,0,React Admin,技术型,"open source, react, dashboard",23,3,FR,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3.0
planety,2203.51,USD,4,0,Planety,技术型,open source,29,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
joysong,2549.08,USD,20,0,Joysong Collective,公益型,,13,8,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
ya-webadb,205.0,USD,11,0,Tango ADB,技术型,"open source, android, adb, web",12,6,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
arviz,26126.62,USD,15,0,ArviZ,技术型,"community, open source",41,4,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
imask,275.0,USD,15,0,imaskjs,技术型,"inputmask, vanilla-js, open source",44,11,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
atl-madr,220.0,USD,4,0,Atlanta Mutual Aid Disaster Relief,公益型,community,43,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
frazier-mtn-pride-org,315.0,USD,12,0,Frazier Mtn Pride,公益型,,22,9,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
companionintelligence,100.0,USD,5,1,Companion Intelligence,技术型,"data, ssi, privacy",19,1,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0
openseadragon,430.0,USD,13,0,OpenSeadragon,技术型,"open source, hacktoberfest",23,10,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
ecosystems-c3,230272.13,USD,7,2,Ecosyste.ms Platform Development,技术型,"civic tech, online, open source",3,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
coopcycle,125.0,USD,5,0,CoopCycle,技术型,,21,3,FR,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.0
wearedotnet,427.89,USD,5,0,WeAreDotnet,技术型,".net, visual studio, community support, open community, community",23,1,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
razonyang-foss,314.61,USD,8,1,Razon Yang's FOSS,技术型,open source,20,5,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.0
ng-toolkit,279.0,USD,18,2,ng-toolkit,技术型,"angular, angular-material2, angular-universal, aws, aws-lambda, boilerplate, google-cloud, google-cloud-functions, offline, push, push-notifications, pwa, pwa-apps, safari-push-notifications, server-side-rendering, serverless, serverless-framework, webpush, open source, firebase",43,15,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
drogon,894.7,USD,5,0,Drogon,技术型,open source,25,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
possibilities-for-women,20681.93,USD,36,4,Possibilities for Women,公益型,"covid, covid-19, education, education for women, hardship fund, scholarships, scholarships for women, students, usa, women's empowerment",31,30,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
pushinforward,175.0,USD,3,0,Pushin' Forward,公益型,"community, skateboarding, youth, underserved youth, culture",34,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
express-cassandra,1100.0,USD,4,2,Express Cassandra,技术型,"open source, cassandra, nodejs, orm",22,1,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
whatsie,220.0,USD,27,0,Whatsie,技术型,"open source, whatsapp, linux, linux apps",20,21,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
fito-network,72200.0,USD,13,0,Fito Network,技术型,"community, movements, network, networking, network-of-networks, systems change, transformational change, usa",6,4,US,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0
westpa,22000.0,USD,20,2,WESTPA,技术型,open source,2,2,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4.0
cobbler,297.66,USD,3,0,Cobbler,技术型,open source,23,1,DE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4.0
forgeequity,2086.0,USD,22,1,Forge Equity,技术型,"mid-atlantic usa, maryland, education, baltimore county, inclusion, event, justice, diversity, usa, baltimore, equity",19,17,US,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.0
babel-starter-kit,2860.0,USD,8,0,Babel Starter Kit,技术型,open source,32,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0
wiadla,10735.43,USD,20,0,World IA Day Los Angeles,技术型,,7,8,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.0
general-cuties,19910.69,USD,49,4,General Cuties Construction Collective,公益型,community,42,42,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0
urql-graphql,6820.98,USD,6,0,urql GraphQL,技术型,"open source, graphql, typescript, javascript",22,2,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.0
stylis,3900.0,USD,4,0,stylis,技术型,open source,38,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
iconify,760.0,USD,11,0,Iconify,技术型,open source,37,6,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
wwcodeeastbay,8017.49,USD,26,0,WWCode East Bay,技术型,"wwcode, meetup, diversity in tech, 501c3",25,11,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0
less,165.0,USD,6,0,Less,技术型,"css, less, webdevelopment, open source",32,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
hadolint,4871.21,USD,4,0,Hadolint,技术型,open source,22,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
cupy,134.45,USD,11,0,CuPy,技术型,"open source, community",27,2,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
heylinda,205.0,USD,5,4,Hey Linda,技术型,"open source, meditation, react native, mindfullness, mindful, react, hacktoberfest",21,3,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
just-the-docs,207.93,USD,6,0,Just the Docs,技术型,open source,34,3,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
notesnook,206.0,USD,22,0,Notesnook,技术型,open source,18,14,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0
poliastro,1581.57,USD,11,0,poliastro,技术型,"orbital-simulation, orbital-mechanics, astrodynamics, celestial-mechanics, python, science, scientific-computing, space, physics, open source",6,7,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
mathesar,339.45,USD,9,0,Mathesar,技术型,"python, open source, javascript, django, database, postgresql, postgres, database-gui, database-management, data, database-interface",22,2,US,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2.0
vue3-sfc-loader,130.0,USD,4,0,Vue3 Sfc Loader,技术型,"open source, vuejs",16,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
rho-vision-community,79109.95,USD,42,15,Rho Vision (formerly RChain Community),技术型,"blockchain, rholang",15,12,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
b-local-texas,1900.0,USD,59,1,B Local Texas,公益型,"business development, live better",19,50,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
wwcoderecife,7965.29,USD,12,0,WWCode Recife,技术型,"wwcode, meetup, diversity in tech",16,1,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0
heroes-profile,165.0,USD,6,0,Heroes Profile,技术型,community,27,3,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
gacp,94.0,USD,6,0,gacp,技术型,"changelog, commit, commit-conventions, commit-message, commitizen, conventional-changelog, emoji, gacp, git, git-add, git-commit, git-push, gitmoji, nodejs, standard-version, open source",20,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
families-of-midtown-atlanta,158.0,USD,14,0,families-of-midtown-atlanta,公益型,,18,10,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.0
rxts,457.99,USD,5,4,RxTS,技术型,"rxjs, typescript, open source, react, eslint, prettier, oss",19,2,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5.0
fenics-project,5806.59,USD,12,0,FEniCS Project,技术型,open source,23,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
immich,156.0,USD,12,0,Immich,技术型,"open source, self-hosted, backup, googlephotos alternative, movement",18,7,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
univer,282.0,USD,9,0,Univer Open Source Projects,技术型,"open source, javascript, office, spreadsheets, slides, documents, formulas",16,4,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.0
blosc,20740.52,USD,14,0,Blosc,技术型,open source,5,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
watchersdefensecollective,51134.2,USD,12,7,The Watchers' Defense Collective,公益型,"austin, civil rights, community, film, filming, knowledge sharing, photojournalism, photojournalism\, social justice, southern usa, texas, usa",6,6,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.0
akibaparty,129.81,USD,6,2,akiba.party,技术型,"community, online, usa, meetup",17,3,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
norcalsocial,148.0,USD,8,0,NorCal.social,技术型,"mastodon, fediverse, micro-blogging, community, norcal",29,6,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0
dkfm,112.5,USD,4,0,DKFM,技术型,"open source, devops, devsecops, security, ci/cd, supplychain",22,1,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2.0
witchcraft,2270.0,USD,9,0,Witchcraft,技术型,"algebra, algebraic-data-types, applicative, category, elixir, functor, monad, operators, traversable, type-class, open source",40,7,Other,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6.0
babybuddy,535.0,USD,21,0,Baby Buddy,技术型,"open source, hacktoberfest",18,18,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.0
otion,70.0,USD,6,0,otion,技术型,"css-in-js, atomic-css, microlibrary, styling, typescript",22,3,Other,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.0
atom-chlorine,130.0,USD,5,1,Pulsar's Chlorine,技术型,open source,22,3,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
pijul,125.0,USD,9,0,Pijul,技术型,"open source, versioning, distributed systems, replication, asynchronous, code, collaboration",19,6,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
pinpointsimulations,167.31,USD,21,0,Pinpoint Simulations,技术型,"flight, flybywire, 777-300er for msfs, pinpoint simulations, pinpoint, pps, pps777",18,15,US,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0
misskey,218.34,USD,6,0,misskey,技术型,"activitypub, mastodon, misskey, nodejs, service-worker, sns, spa, vue, web, open source",16,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
vvvebjs,525.69,USD,17,0,Vvveb,技术型,"builder, drag, drag-and-drop, drag-drop, free, html, jquery, scss, site-builder, site-generator, ui, website-builder, website-generation, open source, javascript, webdesign, cms, blogging, blog, ecommerce, bootstrap-5",26,11,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,6.0
object-press,78.0,USD,5,0,,技术型,,39,4,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0
catenarymaps,2887.54,USD,18,0,Catenary,技术型,"open source, mapping, transit, community, rust, algorithms, research, theory, routing, gis, transportation",20,10,US,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0
quantecon,12056.64,USD,14,0,QuantEcon,教育型,open source,25,2,Unknown,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0
raiz-together,435.0,USD,7,0,RAIZ Together,公益型,"movement, other, community care, community education, community development, anti-oppression, resilience, community",20,3,US,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1.0
ihope,2480.0,USD,8,3,International House of Progressive Enthusiasm - Kinbox,公益型,"open source, solidarity economy, direct action, circular economy, regenerative economy, community, mutual aid, community organizing, dual power, systems thinking, design thinking, solarpunk, post-scarcity, post-capitalism, decentralized technology",22,3,US,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0
ngx-infinite-scroll,240.0,USD,10,1,ngx-infinite-scroll,技术型,"angular, angular-4, angular-directives, angular4, directive, infinite-scroll, scroll, ui, utility, open source",37,8,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
ultimate-backend,370.0,USD,12,0,XRAPH Projects,技术型,open source,27,8,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
zeromnen,3942.0,USD,39,0,zerozero,技术型,,38,37,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
dynamoose,4672.0,USD,8,0,Dynamoose,技术型,"open source, pledged",21,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
