,totalFinancialContributors,age,members,updates,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown
totalFinancialContributors,1.0,0.09405653118353048,0.994934057962438,0.13166469358191737,-0.004816992167781982,0.015151314954533647,-0.02548341260249788,0.0055936451141381325,0.023531987538979584,-0.030151337795329393,-0.04246454134488825,0.036087092577470364,0.015044603799012872
age,0.09405653118353048,1.0,0.0937594809721222,0.03241619547067986,-0.25687879877900577,0.2780377314737666,-0.06971682290334434,-0.014325071392780657,0.023433974382730812,-0.12322848222961905,-0.04758730817277818,-0.09498498427027778,0.175461674711929
members,0.994934057962438,0.0937594809721222,1.0,0.14754557176483704,0.007779938178541198,0.001691971039306612,-0.022490805017212217,0.0029511595380588606,0.02375011786015205,-0.019090407440174102,-0.04539084599807595,0.042139648226946984,0.00713800738960016
updates,0.13166469358191737,0.03241619547067986,0.14754557176483704,1.0,0.010128715609775974,-0.021788704507078333,0.029085687914771337,-0.0032666182022750016,0.02074071978833305,0.02352930343881959,0.0008932530808895466,0.06916956406803539,-0.06988394489154542
type_公益型,-0.004816992167781982,-0.25687879877900577,0.007779938178541198,0.010128715609775974,1.0,-0.9134181808085905,-0.1396248293451604,0.005775910596720931,-0.02745209883630464,0.23806714286630498,-0.030848345538653954,0.1420100592857583,-0.21359404242007116
type_技术型,0.015151314954533647,0.2780377314737666,0.001691971039306612,-0.021788704507078333,-0.9134181808085905,1.0,-0.2754995365821081,-0.001414458192782936,0.03193628681804472,-0.24654919082134752,0.02963690100560811,-0.1390041905429133,0.21464622058325397
type_教育型,-0.02548341260249788,-0.06971682290334434,-0.022490805017212217,0.029085687914771337,-0.1396248293451604,-0.2754995365821081,1.0,-0.010200389625337621,-0.012858551862646313,0.03754064110365802,0.0007566159782473509,0.0027716677612920405,-0.017727374772673107
country_DE,0.0055936451141381325,-0.014325071392780657,0.0029511595380588606,-0.0032666182022750016,0.005775910596720931,-0.001414458192782936,-0.010200389625337621,1.0,-0.022767101051511786,-0.05109670916495113,-0.07291120780460897,-0.06911002733995865,-0.1685037842344281
country_FR,0.023531987538979584,0.023433974382730812,0.02375011786015205,0.02074071978833305,-0.02745209883630464,0.03193628681804472,-0.012858551862646313,-0.022767101051511786,1.0,-0.046015924775677876,-0.06566130595240112,-0.062238094611031476,-0.15174866613654936
country_GB,-0.030151337795329393,-0.12322848222961905,-0.019090407440174102,0.02352930343881959,0.23806714286630498,-0.24654919082134752,0.03754064110365802,-0.05109670916495113,-0.046015924775677876,1.0,-0.14736512330004967,-0.13968233426492493,-0.34057289253493506
country_Other,-0.04246454134488825,-0.04758730817277818,-0.04539084599807595,0.0008932530808895466,-0.030848345538653954,0.02963690100560811,0.0007566159782473509,-0.07291120780460897,-0.06566130595240112,-0.14736512330004967,1.0,-0.199316313450742,-0.4859722151590978
country_US,0.036087092577470364,-0.09498498427027778,0.042139648226946984,0.06916956406803539,0.1420100592857583,-0.1390041905429133,0.0027716677612920405,-0.06911002733995865,-0.062238094611031476,-0.13968233426492493,-0.199316313450742,1.0,-0.4606363560196364
country_Unknown,0.015044603799012872,0.175461674711929,0.00713800738960016,-0.06988394489154542,-0.21359404242007116,0.21464622058325397,-0.017727374772673107,-0.1685037842344281,-0.15174866613654936,-0.34057289253493506,-0.4859722151590978,-0.4606363560196364,1.0
