slug,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown
ant-design-blazor,Ant Design Blazor,技术型,open source,38,12,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
community-repair-fund,Community Repair Fund,公益型,"chicago, evanston, illinois, midwestern usa, usa",28,3,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
schoolhouse,schoolhouse.world,教育型,"civic tech, education, learning, online, tutoring",34,1,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
wwwdxmarathoncom,CQ DX Marathon Program,技术型,,14,14,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
openfisca,OpenFisca,技术型,"rules as code, digital public good, open source, law, python, taxes, benefits",33,32,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
camerakit-android,CameraKit-Android,技术型,"android, android-library, c-plus-plus, camera, camera-api, capture-video, captured-images, java, native, ndk, performance, open source",61,10,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
memos,Memos,技术型,open source,25,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
extinction-rebellion-annecy,Extinction Rebellion Annecy,公益型,,40,2,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
nodejs-mobile,Node.js Mobile,技术型,"open source, javascript, nodejs, mobile app development, ios, android",18,2,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
frontyard-projects,Frontyard Projects,公益型,"open community, residency programme, permaculture garden, arts and culture, critical research, library",29,3,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
mudlet,Mudlet,技术型,"mud, open source, text-adventure, text-based, multi-user-dungeon, online",28,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
wiad-pittsburgh,World IA Day Pittsburgh,技术型,"worldiaday, information architecture, pittsburgh, ux event",24,19,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
react-google-maps-api,React Google Maps Api,技术型,open source,26,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
refi-lisboa,ReFi Lisboa,技术型,"refi, web3, regeneration, lisbon, ai, community",7,3,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
