slug,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age,propensity_score
openfisca,47,0,OpenFisca,技术型,"rules as code, digital public good, open source, law, python, taxes, benefits",33,32,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0.3946176356010391
camerakit-android,14,0,CameraKit-Android,技术型,"android, android-library, c-plus-plus, camera, camera-api, capture-video, captured-images, java, native, ndk, performance, open source",61,10,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,0.5365202989429845
memos,4,0,Memos,技术型,open source,25,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.4007696044267124
frontyard-projects,9,0,Frontyard Projects,公益型,"open community, residency programme, permaculture garden, arts and culture, critical research, library",29,3,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.33363009748525946
mudlet,7,1,Mudlet,技术型,"mud, open source, text-adventure, text-based, multi-user-dungeon, online",28,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.4078157288021513
wiad-pittsburgh,38,0,World IA Day Pittsburgh,技术型,"worldiaday, information architecture, pittsburgh, ux event",24,19,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.0,0.6977353302460252
react-google-maps-api,5,2,React Google Maps Api,技术型,open source,26,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.43708363607811934
refi-lisboa,28,0,ReFi Lisboa,技术型,"refi, web3, regeneration, lisbon, ai, community",7,3,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0,0.42870484474494225
keffiyeh-aid-project,23,0,Keffiyeh Aid Project,公益型,"food aid, clean water, water, refugee support, community, open source, emergency disaster relief, community kitchen, food justice, food security, mutual aid, gaza, save gaza, keffiyeh, project, human rights, humanitarian aid, humanity first, humanity",36,17,Unknown,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.2430899838075696
swarmpit,11,0,Swarmpit,技术型,,44,8,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,0.48121285743817793
otree,5,2,oTree,技术型,,24,1,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,0.4393177726390688
librepcb,8,0,LibrePCB,技术型,open source,23,4,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0,0.5677866297670936
reqnroll,9,0,Reqnroll,技术型,"open source, bdd-framework, bdd, dotnet, cucumber",24,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0.3781199024560197
mue,8,0,Mue,技术型,"open source, new-tab, fast, privacy, backgrounds, react, javascript",25,1,GB,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2.0,0.5614186488925322
lexington-tool-library,18,1,Lexington Tool Library,公益型,"library of things, community, tool library, mutual aid",23,9,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.4568257245126374
greenspell,34,2,Greenspell Organization,公益型,"holistic health, community wellness, herbal medicine, herbalism, community education, ecological education, free clinic, community",32,32,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.4571336707490297
paris-typescript,17,0,Paris Typescript,技术型,"javascript-libraries, programming-languages, newtech, javascript-applications, computer-programming, javascript, web, web-development, javascript-frameworks, angularjs, typescript, meetup",47,9,FR,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,6.0,0.6462491729920126
frome-pride,31,0,Frome Pride,公益型,"pride, lgbtq, lgbtq+, somerset, social impact, social movement, meetups, lgbtq+ equality, lgbtq owned, movement, lgbtqia+, lgbt inclusivity, social justice, awareness",14,18,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,0.4364964425228204
wewrite-app,15,3,WeWrite App,技术型,"app, writing, wiki, app development, rust-lang, ios-app, community",45,7,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0.3985101329979965
