,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-7.552707538466832,12.159752129909934,-0.6211234783223146,0.5345290062866601,-31.387548625127856,16.282133548194196
totalFinancialContributors,4.554286283232212,0.03154242452528822,144.38605629636825,0.0,4.492458651548916,4.616113914915508
tag_community,-74.84730448142108,15.877483494881535,-4.71405336403277,2.4529560595124926e-06,-105.96942703075528,-43.72518193208687
tag_open source,-2.0588276801720897,16.62184775266863,-0.12386274443174021,0.901425819460175,-34.6400098884039,30.522354528059726
tag_javascript,234.06728427902618,24.473745337577327,9.564015684989418,1.3288237358766422e-21,186.0952676881841,282.03930086986827
tag_other,30.48310610886813,45.63032263864717,0.6680449391135815,0.5041164767928844,-58.95880662141069,119.92501883914694
tag_association,-70.54803415381069,41.04043987840244,-1.7189882555556293,0.08563973448450118,-150.99312482488455,9.897056517263167
type_公益型,-8.161376749246175,13.823383237644702,-0.5904037100715405,0.5549300355370368,-35.25717107377371,18.934417575281365
type_技术型,46.41560834155452,13.176769017132113,3.522533352539312,0.0004288736509059195,20.587269720534554,72.24394696257448
type_教育型,-45.80693913077515,26.558659447364647,-1.724745905250141,0.0845964619044544,-97.86568347356575,6.251805212015462
country_DE,-251.3968147025268,32.79223424144254,-7.666352126285243,1.891808639165955e-14,-315.6742509258206,-187.11937847923295
country_FR,-5.984690478257917,37.15687549234698,-0.16106549323531133,0.8720442593305969,-78.81744341394622,66.84806245743039
country_GB,78.73926147830385,20.88938659936337,3.7693429198492368,0.000164384092814519,37.793097060284566,119.68542589632312
country_Other,8.719599427268546,15.720716774373708,0.554656607100914,0.5791388706471916,-22.095238086066438,39.534436940603534
country_US,82.47518656149437,15.764941351309245,5.231556827494634,1.7063635394120944e-07,51.573662596649356,113.37671052633938
country_Unknown,79.89475017525184,12.959932043992014,6.164750702708321,7.263172550692619e-10,54.4914428164888,105.29805753401489
