slug,name
cadsketcher,CAD Sketcher
spyder,Spyder IDE
helix-editor,Helix
swgr,SWG Restoration
open-web-docs,Open Web Docs
dokku,Dokku
mongoose,Mongoose.js
storybook,Storybook
animal-behaviour-collective,Animal Behaviour Collective
fnb_raleigh,Food Not Bombs Raleigh
tusky,Tusky
bhumisparsha,Bhumisparsha
emmet,Emmet
parcel,Parcel
handsoffuhuru,Hands Off Uhuru! Hands Off Africa! Defense Campaign
vuetify,Vuetify
mobx,mobx
companion,Bitfocus Companion
se15-community-fund,SE15 Community Fund
webform,Webform module for Drupal
librecad,LibreCAD
community-food-support-vic,Community Food Support
cambridgesolidarityfund,Cambridge Solidarity Fund
typeorm,TypeORM
nerves-project,Nerves Project
mutualaidbooks,Mutual Aid Books
ladigitale,La Digitale
hpsolidaritynetwork,Humboldt Park Solidarity Network
opensourcebim,IfcOpenShell
nim,Nim
tauri,Tauri Apps
lambethmutualaid,Lambeth Mutual Aid Fund
neovim,neovim
coderougerood,Code Rouge / Rood
denvercommunityfridges,Denver Community Fridges
openipc,OpenIPC
readingredkitchen,Reading Red Kitchen
arthurs-hill-solidarity-fund,Arthur's Hill Solidarity Fund
papermc,PaperMC
blacksky,Blacksky
preact,Preact
librenms,LibreNMS
vyos,VyOS Project Collective
comunidadprimeroorg,COMUNIDAD PRIMERO
fedibird-infrastructure,Fedibird Infrastructure
vapor,Vapor
manjaro-us,manjaro (US)
grav,Grav
cheerio,cheerio
sinon,sinon
nz-federated-services,NZ Federated Services
chaos-computer,Chaos Computer
jadedforum,Jaded Forum
ruffle,Ruffle
deep-adaptation-forum,Deep Adaptation Forum
theodinproject,The Odin Project
chakra-ui,Chakra UI
kivy,Kivy
bap,The Black Alliance for Peace
koin,koin
keepassxc,KeePassXC
duplicati,duplicati - inactive
wikijs,Wiki.js
veloren,Veloren
keeweb,KeeWeb
mastodon-japan-net,マストドンジャパンネット
sanctuarysupplydepot,SanctuarySupplyDepot
friends-of-groovy,Friends of Apache Groovy
sotonsocialaid,Southampton Social Aid Group
rumah,Raleigh United Mutual Aid Hub (RUMAH)
tosdr,Terms of Service; Didn’t Read
fedimon,Fedi.Monster
ciderapp,Cider Collective
haskell-language-server,Haskell Language Server
indieweb,IndieWeb
bootstrap,Bootstrap
fpv-wtf,fpv.wtf
feedthestreetsla,Feed the Streets
postmarketos,postmarketOS
homebrew,Homebrew
secure-scuttlebutt-consortium,Secure Scuttlebutt Consortium
