slug,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age
ant-design-blazor,15,0,Ant Design Blazor,技术型,open source,38,12,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
community-repair-fund,6,1,Community Repair Fund,公益型,"chicago, evanston, illinois, midwestern usa, usa",28,3,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0
schoolhouse,3,1,schoolhouse.world,教育型,"civic tech, education, learning, online, tutoring",34,1,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4.0
wwwdxmarathoncom,18,0,CQ DX Marathon Program,技术型,,14,14,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
openfisca,47,0,OpenFisca,技术型,"rules as code, digital public good, open source, law, python, taxes, benefits",33,32,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
camerakit-android,14,0,CameraKit-Android,技术型,"android, android-library, c-plus-plus, camera, camera-api, capture-video, captured-images, java, native, ndk, performance, open source",61,10,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
memos,4,0,Memos,技术型,open source,25,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
extinction-rebellion-annecy,7,0,Extinction Rebellion Annecy,公益型,,40,2,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0
nodejs-mobile,5,1,Node.js Mobile,技术型,"open source, javascript, nodejs, mobile app development, ios, android",18,2,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.0
frontyard-projects,9,0,Frontyard Projects,公益型,"open community, residency programme, permaculture garden, arts and culture, critical research, library",29,3,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
mudlet,7,1,Mudlet,技术型,"mud, open source, text-adventure, text-based, multi-user-dungeon, online",28,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
wiad-pittsburgh,38,0,World IA Day Pittsburgh,技术型,"worldiaday, information architecture, pittsburgh, ux event",24,19,US,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.0
react-google-maps-api,5,2,React Google Maps Api,技术型,open source,26,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
refi-lisboa,28,0,ReFi Lisboa,技术型,"refi, web3, regeneration, lisbon, ai, community",7,3,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2.0
keffiyeh-aid-project,23,0,Keffiyeh Aid Project,公益型,"food aid, clean water, water, refugee support, community, open source, emergency disaster relief, community kitchen, food justice, food security, mutual aid, gaza, save gaza, keffiyeh, project, human rights, humanitarian aid, humanity first, humanity",36,17,Unknown,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0
algorithm-visualizer,14,0,algorithm-visualizer,技术型,open source,59,8,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0
sfcommunitysupport,21,0,sf community support,公益型,"california, covid, covid-19, mutual aid, resource, san francisco, usa, western usa",32,16,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
swarmpit,11,0,Swarmpit,技术型,,44,8,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
otree,5,2,oTree,技术型,,24,1,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0
futurecoder,11,2,futurecoder,教育型,"open source, python, education",25,8,Unknown,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0
librepcb,8,0,LibrePCB,技术型,open source,23,4,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.0
reqnroll,9,0,Reqnroll,技术型,"open source, bdd-framework, bdd, dotnet, cucumber",24,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
peoplescarewatchdog,15,0,People's Care Watchdog,公益型,,55,8,GB,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.0
mue,8,0,Mue,技术型,"open source, new-tab, fast, privacy, backgrounds, react, javascript",25,1,GB,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2.0
lexington-tool-library,18,1,Lexington Tool Library,公益型,"library of things, community, tool library, mutual aid",23,9,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
spire,5,0,Spire,技术型,community,48,3,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.0
ypc-support-fund,7,0,YPC Support Fund,公益型,"movement, youth power, intergenerational, community",1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
geengascentraleintessenderlo,30,1,Geen tweede gascentrale in Tessenderlo,公益型,"community, geentweedegascentrale, tegengas, tessenderlo, leefbaarheid, milieu",29,27,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
solidarityfundnk,33,0,Solidarity Fund for Natalie Knight,公益型,,32,31,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
games-on-whales,19,1,Games on Whales,技术型,"open source, rust, c++, streaming, videogames, docker",25,15,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
greenspell,34,2,Greenspell Organization,公益型,"holistic health, community wellness, herbal medicine, herbalism, community education, ecological education, free clinic, community",32,32,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
chrome-react-ai,14,0,React and GenAI,技术型,"other, open source",32,8,Unknown,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5.0
wwcodesantiago,10,0,WWCode Santiago,技术型,"wwcode, meetup, diversity in tech",18,2,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.0
tech-pizza-mondays,9,3,Tech Pizza Mondays,技术型,"community, pizza, toronto, tech, technology, foss, floss, free",26,4,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0
paris-typescript,17,0,Paris Typescript,技术型,"javascript-libraries, programming-languages, newtech, javascript-applications, computer-programming, javascript, web, web-development, javascript-frameworks, angularjs, typescript, meetup",47,9,FR,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,6.0
simplcommerce,8,0,SimplCommerce,技术型,"angularjs, aspnetcore, cross-platform, csharp, dotnetcore, ecommerce, entity-framework-core, modular, netcore, shopping-cart, open source",45,6,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
frome-pride,31,0,Frome Pride,公益型,"pride, lgbtq, lgbtq+, somerset, social impact, social movement, meetups, lgbtq+ equality, lgbtq owned, movement, lgbtqia+, lgbt inclusivity, social justice, awareness",14,18,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0
rhash,4,0,RHash,技术型,open source,28,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
wewrite-app,15,3,WeWrite App,技术型,"app, writing, wiki, app development, rust-lang, ios-app, community",45,7,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
climate-alarm,9,0,Help Climate Activists to go to COP,公益型,,39,4,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.0
bcma,8,0,Belmont-Cragin Mutual Aid,公益型,"chicago, community, illinois, midwestern usa, mutual aid, usa",28,3,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0
flutter_easy_localization,9,0,Easy Localization,技术型,"flutter, flutter-apps, globalization, i18, i18n, i18n-alternative, internationalization, json, json-files, json-localization, locale, locale-gen, locales, locales-translation, localization, localization-kit, localization-tool, localization-using-json-files, translated-keys, translation, open source",36,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
family-dmitriev,8,0,Семья Дмитриевых,公益型,community,19,3,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0
iplug2,6,0,iPlug2 Developers,技术型,"open source, audio, plug-ins, vst, audiounit, webassembly",30,2,DE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4.0
open-chemistry,15,0,Open Chemistry,技术型,"open source, science, association, hacktoberfest, chemistry",37,10,Unknown,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,6.0
eslint-plugin-import,10,0,eslint-plugin-import,技术型,open source,49,5,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
tlc,29,0,Trans Liberation Cambridge,公益型,"transgender, trans, queer, lgbtq, community",25,17,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
news-android,5,0,News,技术型,open source,28,3,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
entropic,8,0,entropic,技术型,,44,6,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
world-ia-day-new-york-city,15,0,World IA Day New York City,技术型,coop,47,10,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0
respec,15,0,respec,技术型,"javascript, pre-processor, respec, w3c, w3c-specification, web-standards, open source",43,9,Unknown,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,6.0
sepheocoop,22,0,Sepheo Co-op,技术型,"association, mutual-aid, freelancing, uk, community",45,12,GB,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1.0
googlecl,4,1,GoogleCL,技术型,open source,30,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
joomla-cms,6,0,The Joomla! Project,技术型,open source,30,3,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0
eruda,58,0,eruda,技术型,"console, debugger, developer-tools, eruda, mobile, open source",22,13,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
