,slug,name,github-url,first time
0,openfisca,OpenFisca,https://github.com/openfisca,2013-03-22 10:52:50+00:00
1,swarmpit,Swarmpit,https://github.com/swarmpit,2017-06-20 00:58:58+00:00
2,reqnroll,Reqnroll,https://github.com/reqnroll,2024-03-01 08:17:18+00:00
3,mue,Mue,https://github.com/mue,2022-11-16 20:27:56+00:00
4,sepheocoop,Sepheo Co-op,https://github.com/sepheocoop,2024-10-11 15:00:43+00:00
5,kube-hetzner,Kube Hetzner,https://github.com/kube-hetzner/terraform-hcloud-kube-hetzner,2024-06-05 06:09:21+00:00
6,centrifugal,Centrifugal,https://github.com/centrifugal,2016-06-15 09:45:19+00:00
7,bagisto,Bagisto - Laravel eCommerce,https://github.com/bagisto/bagisto,2024-11-15 12:19:41+00:00
8,openml,OpenML,https://github.com/openml,2015-02-19 11:27:11+00:00
9,hyphacoop,Hypha Worker Co-op,https://github.com/hyphacoop,2019-04-18 19:20:09+00:00
10,commitizen-tools,Commitizen Tools,https://github.com/commitizen-tools/commitizen,2024-07-11 12:16:29+00:00
11,abap-observability-tools,abap-observability-tools,https://github.com/abap-observability-tools,2020-04-17 18:28:54+00:00
12,yamada-ui,Yamada UI,https://github.com/yamada-ui/yamada-ui,2025-01-21 11:19:43+00:00
13,conda-forge,conda-forge,https://github.com/conda-forge,2016-10-14 01:37:04+00:00
14,vendure-ecommerce,Vendure,https://github.com/vendure-ecommerce,2019-03-25 09:29:01+00:00
15,apiato,Apiato,https://github.com/apiato/apiato,2017-05-21 11:01:47+00:00
16,apiflask,APIFlask,https://github.com/greyli/apiflask,2021-06-26 09:57:04+00:00
17,openseadragon,OpenSeadragon,https://github.com/openseadragon,2013-03-07 17:41:33+00:00
18,coopcycle,CoopCycle,https://github.com/coopcycle,2017-07-25 11:09:07+00:00
19,westpa,WESTPA,https://github.com/westpa,2014-10-04 17:50:17+00:00
20,cobbler,Cobbler,https://github.com/cobbler,2013-07-22 11:14:37+00:00
21,iconify,Iconify,https://github.com/iconify,2020-11-27 17:11:29+00:00
22,less,Less,https://github.com/less,2009-11-06 20:06:05+00:00
23,hadolint,Hadolint,https://github.com/hadolint,2020-02-10 02:01:31+00:00
24,jamstatic,Jamstatic,https://github.com/jamstatic,2023-10-08 03:51:51+00:00
25,heylinda,Hey Linda,https://github.com/heylinda/heylinda-app,2021-07-28 14:45:09+00:00
26,poliastro,poliastro,https://github.com/poliastro,2016-02-05 10:25:00+00:00
27,django-import-export,django-import-export,https://github.com/django-import-export,2016-05-02 17:45:21+00:00
28,babybuddy,Baby Buddy,https://github.com/babybuddy,2022-02-06 02:46:10+00:00
29,dynamoose,Dynamoose,https://github.com/dynamoose/dynamoose,2023-12-05 11:15:15+00:00
30,semantic-release,semantic-release,https://github.com/semantic-release,2015-08-18 14:53:02+00:00
31,saasfly,Saasfly,https://github.com/saasfly/saasfly,2024-04-14 06:03:29+00:00
32,pmd,PMD,https://github.com/pmd,2017-05-30 21:38:58+00:00
33,lucide-icons,Lucide Icons,https://github.com/lucide-icons,2022-11-06 15:32:58+00:00
34,apollo-elements,Apollo Elements,https://github.com/apollo-elements,2020-09-30 07:29:19+00:00
35,ice,ice,https://github.com/ice,2015-12-09 12:35:00+00:00
36,mlpack,mlpack,https://github.com/mlpack,2014-12-29 13:56:21+00:00
37,praw-dev,PRAW,https://github.com/praw-dev,2014-10-16 17:50:28+00:00
38,daobrussels,DAO Brussels,https://github.com/daobrussels,2024-02-14 17:09:14+00:00
39,xdebug,Xdebug,https://github.com/xdebug/xdebug,2015-03-16 10:41:34+00:00
40,urduhack,UrduHack,https://github.com/urduhack,2021-01-06 10:38:43+00:00
41,cp-algorithms,cp-algorithms,https://github.com/e-maxx-eng/e-maxx-eng,2024-07-19 13:42:54+00:00
42,abelljs,Abell,https://github.com/abelljs,2020-05-22 19:17:43+00:00
43,vanilla-rtb,vanilla-rtb,https://github.com/vanilla-rtb,2017-06-10 10:59:28+00:00
44,datafestafrica,Data Community Africa,https://github.com/datafestafrica,2022-03-31 00:35:53+00:00
45,gfx-rs,gfx-rs hardware,https://github.com/gfx-rs,2014-12-25 03:49:00+00:00
46,bevry,Bevry,https://github.com/bevry,2012-05-02 02:47:19+00:00
47,amuzil,Amuzil,https://github.com/amuzil,2022-12-12 17:59:11+00:00
48,csstree,CSSTree,https://github.com/csstree,2017-02-15 00:09:21+00:00
49,femdevs,The FemDevs,https://github.com/femdevs,2023-09-29 18:56:55+00:00
50,worldimprovementlab,World Improvement Lab,https://github.com/worldimprovementlab,2019-12-02 22:12:29+00:00
51,scidsg,Science & Design,https://github.com/scidsg,2022-10-06 00:43:41+00:00
52,fosuniverse,Free Open Source Universe,https://github.com/fosuniverse,2020-01-17 16:54:59+00:00
53,opennox,OpenNox,https://github.com/opennox/opennox,2024-03-09 22:38:43+00:00
54,glpi-project,GLPI,https://github.com/glpi-project,2015-08-18 07:17:38+00:00
55,php-service-bus,PHP Service Bus,https://github.com/php-service-bus/service-bus,2021-03-10 21:19:27+00:00
56,hoaproject,Hoa Project,https://github.com/hoaproject,2013-12-02 09:05:12+00:00
57,project-error,Project Error,https://github.com/project-error,2021-08-20 21:25:17+00:00
58,nlpodyssey,NLP Odyssey,https://github.com/nlpodyssey,2020-06-16 14:07:24+00:00
59,cassandre-tech,Cassandre Tech,https://github.com/cassandre-tech,2024-02-05 12:52:17+00:00
60,ng-web-apis,Web APIs for Angular,https://github.com/ng-web-apis,2020-07-13 22:43:51+00:00
61,electerm,Electerm,https://github.com/electerm/electerm,2024-12-14 10:03:05+00:00
62,jaeles-project,Jaeles Project,https://github.com/jaeles-project/jaeles,2020-02-25 16:59:46+00:00
63,flutter-form-builder-ecosystem,Flutter Form Builder Ecosystem,https://github.com/flutter-form-builder-ecosystem,2020-07-27 17:03:44+00:00
64,oapi-codegen,oapi-codegen,https://github.com/oapi-codegen,2023-08-28 20:47:48+00:00
