slug,first time
100devs,2021-03-26 11:46:50+00:00
24pullrequests,2013-12-27 05:40:05+00:00
314-education,2025-01-03 11:05:53+00:00
31z4,2021-09-08 20:40:45+00:00
4ian,2024-11-18 08:43:35+00:00
AFLplusplus,2019-06-30 08:01:32+00:00
AccelAI,2018-06-13 21:07:22+00:00
AcheronProject,2020-10-12 13:51:17+00:00
ActivityWatch,2015-07-03 21:19:11+00:00
AfricArxiv,2018-07-03 07:51:42+00:00
Airsaid,2023-02-15 10:36:54+00:00
AlchemyCMS,2024-05-02 13:40:19+00:00
Aletheia-Data,2021-11-07 06:57:15+00:00
AlmaLinux,2021-02-27 13:03:41+00:00
Alovoa,2023-10-01 08:31:21+00:00
Amog-OS,2023-08-23 21:22:27+00:00
AmruthPillai,2024-11-10 21:40:18+00:00
AravisProject,2022-09-20 14:50:05+00:00
ArtalkJS,2024-10-03 12:27:29+00:00
Ashutosh00710,2021-01-22 11:31:23+00:00
AsteroidOS,2017-05-30 22:10:31+00:00
BRL-CAD,2014-03-16 16:50:26+00:00
Binaryify,2022-08-15 13:34:04+00:00
BioJulia,2014-05-06 22:34:06+00:00
Bioprotocols,2021-06-21 18:13:57+00:00
BirthdayResearch,2022-05-02 17:33:11+00:00
BlissRoms-x86,2017-07-28 01:36:31+00:00
Bloc,2012-10-13 18:45:27+00:00
Blosc,2019-12-04 19:11:53+00:00
Bogdan-Lyashenko,2019-01-18 02:52:32+00:00
BrainJS,2017-01-25 02:45:55+00:00
BusKill,2020-08-30 17:21:42+00:00
CITGuru,2021-07-20 15:53:08+00:00
COVID-19-electronic-health-system,2020-05-15 03:28:12+00:00
CaenCamp,2017-11-18 14:49:35+00:00
Cantera,2022-12-19 16:57:47+00:00
Cezerin2,2020-05-20 22:18:42+00:00
Chinachu,2020-07-05 09:16:35+00:00
CirclesUBI,2017-11-10 13:09:35+00:00
CircuitVerse,2020-04-30 15:42:38+00:00
ClassicPress,2018-09-08 03:08:19+00:00
ClimateMind,2021-10-10 09:30:14+00:00
Cloudbox,2019-11-02 01:53:06+00:00
CodeEditApp,2024-08-29 06:48:49+00:00
CodeWithAloha,2015-09-29 22:09:49+00:00
CodeforSouth,2013-07-27 21:06:56+00:00
Coding-Coach,2018-09-14 22:04:07+00:00
ColinEberhardt,2018-05-09 20:36:43+00:00
ConstructCommunity,2019-08-27 13:44:29+00:00
CouncilDataProject,2017-11-08 20:31:48+00:00
Crequency,2022-11-19 14:40:53+00:00
CyPurr-Collective,2020-05-06 16:28:26+00:00
DeepWTO,2020-03-02 05:06:24+00:00
DefectDojo,2018-07-10 10:19:22+00:00
DigitalBiomarkerDiscoveryPipeline,2021-05-25 09:40:00+00:00
Discord4J,2019-12-16 13:44:52+00:00
DiscordAnalytics,2024-01-17 16:09:21+00:00
DiskFrame,2020-09-17 02:32:18+00:00
Dolibarr,2016-09-22 15:08:13+00:00
DragonetMC,2016-08-15 05:21:00+00:00
Dynamoid,2022-07-19 18:32:22+00:00
EFPrefix,2017-04-21 07:06:48+00:00
ESHackathon,2021-03-18 09:29:49+00:00
EduCodeBe,2018-05-05 09:15:12+00:00
Einfach-Gaming,2021-05-28 09:43:25+00:00
Embroidermodder,2014-02-11 14:56:24+00:00
Emplea-do,2019-08-21 01:19:54+00:00
EngineHub,2013-01-28 01:50:09+00:00
Enraged-Rabbit-Community,2024-06-17 02:10:39+00:00
EssentialsX,2019-10-03 12:55:37+00:00
EthicalSource,2023-04-10 15:33:32+00:00
Eugeny,2025-01-17 07:21:59+00:00
FOSSBilling,2022-05-22 20:43:37+00:00
FedML-AI,2021-01-24 16:19:22+00:00
FiguraMC,2023-10-06 12:40:10+00:00
FlagrantGarden,2021-09-22 05:15:10+00:00
Flow-Launcher,2025-01-06 08:30:05+00:00
FluentValidation,2023-01-23 21:00:52+00:00
FossifyOrg,2023-12-04 23:19:35+00:00
GAwesomeBot,2020-06-22 09:41:09+00:00
GameTec-live,2023-09-01 11:50:36+00:00
GeekGene,2023-08-31 21:49:47+00:00
Git-Commit-Show,2020-05-07 13:04:59+00:00
GramAddict,2022-01-31 12:44:45+00:00
GridtNetwork,2020-08-25 14:10:34+00:00
Hamza417,2023-12-06 07:07:38+00:00
HandyOrg,2024-09-03 06:34:53+00:00
HashLoad,2019-06-14 20:52:55+00:00
Hasnayeen,2024-05-31 07:46:38+00:00
Heavy-Division,2021-10-01 02:48:18+00:00
HenryQW,2019-08-01 09:12:00+00:00
Hexworks,2016-03-31 21:14:25+00:00
HoudiniGraphql,2021-07-09 04:49:51+00:00
Humanitarian-AI,2022-04-07 03:04:03+00:00
HyperGAN,2016-11-30 03:34:01+00:00
InfyOmLabs,2016-04-20 17:54:35+00:00
InsightSoftwareConsortium,2024-11-20 21:19:54+00:00
IntellectualSites,2019-01-09 03:16:10+00:00
Jaysmito101,2021-10-22 17:38:16+00:00
JiHong88,2024-08-28 17:00:43+00:00
JodaOrg,2012-12-10 19:12:16+00:00
JonyFang,2018-12-28 02:27:34+00:00
KStateMachine,2024-05-17 18:12:46+00:00
KaTeX,2016-12-17 22:38:39+00:00
KairosResearchLab,2023-06-28 08:31:49+00:00
KinectToVR,2021-10-29 19:32:53+00:00
KronicDeth,2024-08-20 11:40:43+00:00
LSS-Manager,2018-08-10 21:29:16+00:00
LasseRafn,2017-10-07 19:56:50+00:00
Leaflet,2024-10-11 21:02:02+00:00
LeanerCloud,2019-02-15 19:39:59+00:00
LearnersBlock,2021-02-18 21:20:07+00:00
Level,2013-01-28 00:36:51+00:00
LibrePCB,2016-09-04 23:45:53+00:00
Linux-on-droid,2024-06-06 18:51:07+00:00
LiterateInk,2024-03-12 20:00:01+00:00
LiveGTech,2022-02-03 11:57:07+00:00
LycheeOrg,2022-11-08 12:45:08+00:00
MDAnalysis,2015-10-06 17:57:09+00:00
MakUrSpace,2021-05-22 19:41:17+00:00
ManimCommunity,2020-06-08 09:18:46+00:00
ManukMinasyan,2024-04-26 15:46:51+00:00
MarcTowler,2019-01-21 20:20:59+00:00
Megabit,2024-11-20 12:44:29+00:00
MidCamp,2019-04-19 16:40:45+00:00
Midnight-Lizard,2017-11-11 13:01:30+00:00
MintyOrb,2021-01-05 08:02:45+00:00
ModuleArt,2019-09-19 08:41:48+00:00
MurhafSousli,2024-09-13 12:20:44+00:00
MurmurationsNetwork,2019-08-07 19:09:20+00:00
NServiceBusExtensions,2023-11-20 11:38:13+00:00
NamelessMC,2016-06-24 16:40:29+00:00
NaomiProject,2019-02-22 23:26:12+00:00
NdagiStanley,2018-07-03 04:29:39+00:00
Nitrux,2016-09-17 22:16:27+00:00
OI-wiki,2024-10-23 06:56:17+00:00
ONEARMY,2017-06-05 12:34:31+00:00
OSAlt,2017-07-13 15:59:34+00:00
OSGeo,2014-02-21 12:49:03+00:00
OctoLinker,2016-02-18 07:41:43+00:00
OfflineIMAP,2015-03-28 21:44:49+00:00
One-Language,2019-06-01 03:03:08+00:00
OneLiteFeatherNET,2023-03-18 14:21:26+00:00
Open-Bootcamp,2022-03-11 21:02:08+00:00
Open-MBEE,2014-06-02 17:38:45+00:00
Open-Science-Community-Saudi-Arabia,2022-10-06 09:52:31+00:00
OpenCOVID19CoughCheck,2020-04-02 18:12:23+00:00
OpenCannabis,2019-05-24 17:34:18+00:00
OpenDevUFCG,2018-12-18 20:09:04+00:00
OpenHV,2023-12-30 15:17:00+00:00
OpenHospitalityNetwork,2021-06-13 05:15:08+00:00
OpenMS,2015-08-11 13:28:55+00:00
OpenMaine,2018-11-09 09:57:20+00:00
OpenNBS,2022-12-10 21:35:22+00:00
OpenPHL,2019-04-09 19:28:05+00:00
OpenSID,2025-01-19 07:48:29+00:00
OpenSTL,2015-01-08 19:59:41+00:00
OpenShopChannel,2020-12-21 21:18:54+00:00
OpenSourceCommunityBrasil,2021-11-30 00:04:09+00:00
OpenTechFund,2021-11-18 11:45:31+00:00
OpenZWave,2014-03-22 15:13:01+00:00
PSLmodels,2015-04-07 11:54:51+00:00
PalisadoesFoundation,2017-02-12 08:31:58+00:00
PapillonApp,2022-09-21 13:54:07+00:00
ParisTypeScript,2023-04-21 20:28:28+00:00
PataphysicalSociety,2021-04-09 15:59:55+00:00
PitchBlackRecoveryProject,2018-07-30 20:55:24+00:00
PixiEditor,2024-02-05 01:00:33+00:00
PokeAPI,2024-04-17 04:24:01+00:00
PolicyEngine,2018-12-14 19:48:42+00:00
PolyMC,2022-04-01 02:11:21+00:00
PopSchools,2020-04-18 00:09:41+00:00
PowerNukkit,2019-05-17 14:34:08+00:00
PrismarineJS,2013-01-14 00:42:02+00:00
PrisonArt,2022-05-22 17:04:44+00:00
ProjectSakura,2024-10-08 07:32:14+00:00
Psionica,2021-04-03 12:22:17+00:00
PyTables,2020-10-02 16:57:59+00:00
Quaint-Studios,2024-01-17 15:16:21+00:00
QuantEcon,2015-12-16 17:53:33+00:00
RSS-Bridge,2024-08-25 15:12:44+00:00
RaspAP,2017-10-17 10:54:40+00:00
ResilienceWeb,2023-02-27 22:49:37+00:00
Retrospring,2015-05-25 03:17:37+00:00
RicoSuter,2024-11-26 14:25:59+00:00
RobinCK,2019-09-21 20:29:26+00:00
RoboTech-URJC,2018-11-19 16:59:27+00:00
Roslovets-Inc,2021-03-13 15:10:51+00:00
RustFestEU,2016-05-15 08:12:26+00:00
RustPython,2019-02-07 03:00:20+00:00
SFML,2024-07-12 20:56:09+00:00
STEllAR-GROUP,2024-02-01 03:49:29+00:00
SagerNet,2022-02-05 11:43:02+00:00
SceneView,2022-02-28 14:15:31+00:00
SciML,2014-01-27 11:46:13+00:00
ScoopInstaller,2019-05-06 17:42:26+00:00
ScuffleCloud,2023-04-20 17:56:46+00:00
SelectorsHub,2020-12-22 15:51:12+00:00
Sequel-Ace,2024-07-14 05:32:05+00:00
SheetJS,2014-02-15 16:00:04+00:00
Sinytra,2023-08-26 13:12:58+00:00
Skoice,2021-08-05 19:09:29+00:00
SkriptLang,2017-06-01 17:50:20+00:00
Sollumz,2024-08-16 16:07:33+00:00
Solvosoft,2023-08-05 00:10:47+00:00
SonicCloudOrg,2021-11-10 11:16:45+00:00
Sophox,2018-06-06 23:57:59+00:00
Sudan-s-Tech,2021-02-18 18:51:30+00:00
SvenVD,2021-11-11 22:12:59+00:00
SynoCommunity,2018-04-26 16:47:08+00:00
TUM-Dev,2017-03-05 17:47:55+00:00
TabbycatDebate,2019-06-01 16:56:00+00:00
TampaDevs,2022-11-04 14:16:57+00:00
TeamUltroid,2023-05-21 03:58:13+00:00
TheFuseLab,2023-04-04 21:19:05+00:00
TheIOFoundation,2021-01-07 03:11:52+00:00
TheScripters,2019-08-08 14:34:23+00:00
Thorium-Sim,2016-11-17 06:17:39+00:00
Together-Java,2018-04-11 18:21:05+00:00
Tracardi,2022-11-11 13:17:45+00:00
TransDB-de,2021-11-27 14:54:39+00:00
Typetura,2023-09-07 15:57:34+00:00
UbuntuBudgie,2016-04-20 03:20:37+00:00
UnigramDev,2018-07-15 02:46:48+00:00
Visual-Regression-Tracker,2020-09-04 08:14:08+00:00
Vouk,2019-09-03 18:31:33+00:00
Vuepic,2025-01-13 21:35:18+00:00
WalletConnect,2018-11-23 18:52:44+00:00
WangYihang,2022-11-10 17:03:56+00:00
WatchItDev,2023-06-13 00:16:18+00:00
WeAreDotnet,2023-04-30 07:51:30+00:00
WeWriteApp,2024-11-15 17:30:04+00:00
WelcometoMyGarden,2021-05-10 12:59:19+00:00
Whisparr,2024-09-12 22:52:03+00:00
WildGums,2017-01-24 17:43:09+00:00
Wobbly-App,2019-03-19 16:26:46+00:00
WolvenKit,2020-11-23 19:53:00+00:00
YiiGuxing,2023-05-11 03:37:28+00:00
Zizzamia,2021-01-29 16:29:15+00:00
abap-observability-tools,2020-04-17 18:28:54+00:00
abelljs,2020-05-22 19:17:43+00:00
abhinavsingh,2023-07-06 02:44:29+00:00
accounts-js,2019-10-18 08:06:14+00:00
activeadmin,2016-01-21 12:11:38+00:00
aesmail,2021-06-10 14:03:32+00:00
ahmedfgad,2023-09-06 11:15:35+00:00
ai-techsystems,2019-09-11 15:04:05+00:00
aidenybai,2022-07-01 18:33:38+00:00
aiogram,2020-01-03 06:20:26+00:00
aissat,2024-08-01 10:09:19+00:00
alanmcgovern,2021-12-09 16:50:54+00:00
alexandercerutti,2024-09-10 06:50:25+00:00
alexmojaki,2022-06-20 07:42:15+00:00
alfio-event,2024-05-15 11:00:27+00:00
alibaba,2024-09-05 15:25:32+00:00
aligungr,2024-01-22 05:06:52+00:00
alire-project,2020-04-06 09:14:03+00:00
allthingslinux,2024-05-10 04:17:02+00:00
alovajs,2023-04-13 09:25:45+00:00
amethyst,2016-08-03 17:36:47+00:00
amuzil,2022-12-12 17:59:11+00:00
analysis-tools-dev,2020-08-21 11:58:24+00:00
ankitpokhrel,2024-04-05 14:30:33+00:00
anticensority,2017-06-01 13:52:21+00:00
antonbabenko,2019-11-19 12:29:22+00:00
apiato,2017-05-21 11:01:47+00:00
apiflask,2021-06-26 09:57:04+00:00
apollo-elements,2020-09-30 07:29:19+00:00
apolloconfig,2018-11-16 07:49:27+00:00
approach0,2017-04-07 15:03:56+00:00
arborchat,2018-10-27 20:40:44+00:00
archaeo-social,2022-11-14 09:04:19+00:00
argos-ci,2018-08-16 09:50:30+00:00
arkmanager,2022-04-09 08:06:53+00:00
arrow-py,2022-09-29 02:12:20+00:00
artpolikarpov,2019-06-28 11:31:02+00:00
arviz-devs,2019-05-28 15:38:58+00:00
asciidocfx,2023-11-13 14:43:33+00:00
ash-project,2020-06-07 16:26:15+00:00
aspect-build,2021-12-21 23:31:03+00:00
assimp,2024-11-06 02:23:28+00:00
astrit,2020-06-27 11:24:01+00:00
astropy,2012-11-27 11:28:55+00:00
async-rs,2019-07-21 14:18:03+00:00
atata-framework,2017-04-06 13:47:30+00:00
avajs,2016-01-02 12:47:19+00:00
azerothcore,2016-08-17 10:42:24+00:00
azjezz,2020-07-10 00:05:11+00:00
azlux,2024-05-14 14:34:29+00:00
baby-degu,2020-05-05 08:51:24+00:00
babybuddy,2022-02-06 02:46:10+00:00
babycastles,2018-12-21 19:53:05+00:00
backyourstack,2019-07-04 10:08:39+00:00
badgen,2021-11-09 21:04:22+00:00
bagisto,2024-11-15 12:19:41+00:00
barcamp-events,2020-06-07 05:03:13+00:00
bastion-rs,2019-07-22 22:10:09+00:00
bavix,2018-06-20 15:01:55+00:00
baytechc,2020-06-13 13:43:25+00:00
bcneng,2020-03-30 15:11:28+00:00
beaconny-net,2021-09-17 14:44:40+00:00
beawitcht,2023-02-18 15:24:19+00:00
beercss,2022-06-08 09:35:40+00:00
bevry,2012-05-02 02:47:19+00:00
bjornharrtell,2016-02-24 19:46:42+00:00
blitz-js,2020-05-03 16:08:54+00:00
boardgameio,2021-10-04 14:50:07+00:00
bokeh,2024-12-30 14:00:46+00:00
bonfire-networks,2020-05-27 21:25:10+00:00
bonigarcia,2022-03-22 15:30:47+00:00
boot-clj,2015-09-25 21:31:11+00:00
bootscore,2022-10-06 05:51:27+00:00
bootstrap-vue-next,2024-12-07 00:58:36+00:00
borgbackup,2015-06-18 16:53:00+00:00
bowser-js,2021-06-24 18:32:17+00:00
brainflow-dev,2020-11-29 13:41:12+00:00
breamware,2024-12-18 13:27:51+00:00
breathe-doc,2023-06-09 20:40:40+00:00
bridgefoundry,2015-03-21 16:19:42+00:00
buape,2023-02-25 10:55:47+00:00
