slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention,commits_count_log,commits_count_scaled,releases_count_log,releases_count_scaled,pulls_count_log,pulls_count_scaled,discussions_count_log,discussions_count_scaled,amounts_log,amounts_scaled
100devs,2021/3/26,Sep-20,-6,0,0,0,0,2,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,0.916290731874155,5.150091102881272,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
100devs,2021/3/26,Oct-20,-5,0,0,0,0,1,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
100devs,2021/3/26,Nov-20,-4,0,0,0,0,3,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,1.252762968495368,6.264447938907763,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
100devs,2021/3/26,Dec-20,-3,0,0,0,0,1,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
100devs,2021/3/26,Jan-21,-2,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
100devs,2021/3/26,Feb-21,-1,0,0,0,0,1,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
100devs,2021/3/26,Mar-21,0,0,1,11,0,1,0,1,0,2.4423470353692043,2.072126434519448,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
100devs,2021/3/26,Apr-21,1,14,60,53,0,61,0,1,1,3.979681653901961,3.341471183430067,-0.6931471805599453,-0.2410158568991481,4.119037174812472,15.75721408154675,-0.6931471805599453,-0.1348042769849996,4.102643365036796,5.602632769767391
100devs,2021/3/26,May-21,2,1,1,3,0,1,0,1,2,1.252762968495368,1.0899119768009389,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
100devs,2021/3/26,Jun-21,3,0,20,10,0,20,0,1,3,2.3513752571634776,1.997012957224108,-0.6931471805599453,-0.2410158568991481,3.0204248861443626,12.118738211104512,-0.6931471805599453,-0.1348042769849996,3.0204248861443626,4.222723769785829
100devs,2021/3/26,Jul-21,4,0,1,2,0,1,0,1,4,0.916290731874155,0.8120939523054161,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,-0.6931471805599453,-0.1348042769849996,0.4054651081081644,0.8884556874344152
100devs,2021/3/26,Aug-21,5,4,6,1,0,1,1,1,5,0.4054651081081644,0.3903160157913718,-0.6931471805599453,-0.2410158568991481,0.4054651081081644,3.45829616735452,0.4054651081081644,4.46124894472219,1.8718021769015913,2.7581444403980844
100devs,2021/3/26,Sep-21,6,0,0,0,0,0,0,1,6,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
24pullrequests,2013/12/27,Jun-13,-6,0,0,0,0,0,0,0,0,-0.6931471805599453,-0.5167849646317973,-0.6931471805599453,-0.2410158568991481,-0.6931471805599453,-0.1801797030877188,-0.6931471805599453,-0.1348042769849996,-0.6931471805599453,-0.5123566385341444
