slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention
100devs,2021/3/26,Sep-20,-6,0,0,0,0,2,0,0,0
100devs,2021/3/26,Oct-20,-5,0,0,0,0,1,0,0,0
100devs,2021/3/26,Nov-20,-4,0,0,0,0,3,0,0,0
100devs,2021/3/26,Dec-20,-3,0,0,0,0,1,0,0,0
100devs,2021/3/26,Jan-21,-2,0,0,0,0,0,0,0,0
100devs,2021/3/26,Feb-21,-1,0,0,0,0,1,0,0,0
100devs,2021/3/26,Mar-21,0,0,1,11,0,1,0,1,0
100devs,2021/3/26,Apr-21,1,14,60,53,0,61,0,1,1
100devs,2021/3/26,May-21,2,1,1,3,0,1,0,1,2
100devs,2021/3/26,Jun-21,3,0,20,10,0,20,0,1,3
100devs,2021/3/26,Jul-21,4,0,1,2,0,1,0,1,4
100devs,2021/3/26,Aug-21,5,4,6,1,0,1,1,1,5
100devs,2021/3/26,Sep-21,6,0,0,0,0,0,0,1,6
24pullrequests,2013/12/27,Jun-13,-6,0,0,0,0,0,0,0,0
24pullrequests,2013/12/27,Jul-13,-5,0,0,0,0,0,0,0,0
24pullrequests,2013/12/27,Aug-13,-4,0,0,0,0,0,0,0,0
24pullrequests,2013/12/27,Sep-13,-3,0,0,0,0,0,0,0,0
24pullrequests,2013/12/27,Oct-13,-2,0,0,0,0,0,0,0,0
24pullrequests,2013/12/27,Nov-13,-1,0,0,0,0,0,0,0,0
24pullrequests,2013/12/27,Dec-13,0,3,1,0,0,0,0,1,0
24pullrequests,2013/12/27,Jan-14,1,0,0,0,0,0,0,1,1
24pullrequests,2013/12/27,Feb-14,2,0,0,0,0,0,0,1,2
24pullrequests,2013/12/27,Mar-14,3,0,0,0,0,0,0,1,3
24pullrequests,2013/12/27,Apr-14,4,0,0,0,0,0,0,1,4
24pullrequests,2013/12/27,May-14,5,0,0,0,0,0,0,1,5
24pullrequests,2013/12/27,Jun-14,6,0,0,0,0,0,0,1,6
314-education,2025/1/3,Jul-24,-6,0,0,0,0,0,0,0,0
314-education,2025/1/3,Aug-24,-5,0,0,1,0,0,0,0,0
314-education,2025/1/3,Sep-24,-4,0,0,0,0,0,0,0,0
314-education,2025/1/3,Oct-24,-3,0,0,14,0,0,0,0,0
314-education,2025/1/3,Nov-24,-2,0,0,8,0,0,0,0,0
314-education,2025/1/3,Dec-24,-1,0,0,8,0,0,0,0,0
314-education,2025/1/3,Jan-25,0,0,2,1,0,1,0,1,0
314-education,2025/1/3,Feb-25,1,0,0,0,0,0,0,1,1
314-education,2025/1/3,Mar-25,2,0,0,0,0,1,0,1,2
314-education,2025/1/3,Apr-25,3,0,0,0,0,0,0,1,3
314-education,2025/1/3,May-25,4,0,0,0,0,0,0,1,4
314-education,2025/1/3,Jun-25,5,0,0,0,0,0,0,1,5
314-education,2025/1/3,Jul-25,6,0,0,0,0,0,0,1,6
31z4,2021/9/8,Mar-21,-6,0,0,0,0,0,0,0,0
31z4,2021/9/8,Apr-21,-5,0,0,1,0,0,0,0,0
