slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention
100devs,2021-03-26,2020-09,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2020-10,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2020-11,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2020-12,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2021-01,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2021-02,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2021-03,0,0.0,1.0,11.0,0.0,1.0,0.0,1,0
100devs,2021-03-26,2021-04,1,14.0,60.0,53.0,0.0,61.0,0.0,1,1
100devs,2021-03-26,2021-05,2,1.0,1.0,3.0,0.0,1.0,0.0,1,2
100devs,2021-03-26,2021-06,3,0.0,20.0,10.0,0.0,20.0,0.0,1,3
100devs,2021-03-26,2021-07,4,0.0,1.0,2.0,0.0,1.0,0.0,1,4
100devs,2021-03-26,2021-08,5,4.0,6.0,1.0,0.0,1.0,1.0,1,5
100devs,2021-03-26,2021-09,6,0.0,0.0,0.0,0.0,0.0,0.0,1,6
4ian,2024-11-18,2024-05,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4ian,2024-11-18,2024-06,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4ian,2024-11-18,2024-07,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4ian,2024-11-18,2024-08,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4ian,2024-11-18,2024-09,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4ian,2024-11-18,2024-10,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4ian,2024-11-18,2024-11,0,7.0,8.0,0.0,0.0,0.0,0.0,1,0
4ian,2024-11-18,2024-12,1,10.0,8.0,0.0,0.0,0.0,0.0,1,1
4ian,2024-11-18,2025-01,2,4.0,14.0,30.0,0.0,0.0,0.0,1,2
4ian,2024-11-18,2025-02,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3
4ian,2024-11-18,2025-03,4,0.0,0.0,0.0,0.0,0.0,0.0,1,4
4ian,2024-11-18,2025-04,5,0.0,0.0,0.0,0.0,0.0,0.0,1,5
4ian,2024-11-18,2025-05,6,0.0,0.0,0.0,0.0,0.0,0.0,1,6
AfricArxiv,2018-07-03,2018-01,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AfricArxiv,2018-07-03,2018-02,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AfricArxiv,2018-07-03,2018-03,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AfricArxiv,2018-07-03,2018-04,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AfricArxiv,2018-07-03,2018-05,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AfricArxiv,2018-07-03,2018-06,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AfricArxiv,2018-07-03,2018-07,0,5.0,2.0,0.0,0.0,0.0,0.0,1,0
AfricArxiv,2018-07-03,2018-08,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1
AfricArxiv,2018-07-03,2018-09,2,1.0,1.0,1.0,0.0,0.0,0.0,1,2
AfricArxiv,2018-07-03,2018-10,3,2.0,2.0,10.0,0.0,0.0,0.0,1,3
AfricArxiv,2018-07-03,2018-11,4,3.0,2.0,5.0,0.0,0.0,0.0,1,4
AfricArxiv,2018-07-03,2018-12,5,0.0,1.0,0.0,0.0,0.0,0.0,1,5
AfricArxiv,2018-07-03,2019-01,6,0.0,1.0,7.0,0.0,0.0,0.0,1,6
Airsaid,2023-02-15,2022-08,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Airsaid,2023-02-15,2022-09,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Airsaid,2023-02-15,2022-10,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Airsaid,2023-02-15,2022-11,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Airsaid,2023-02-15,2022-12,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Airsaid,2023-02-15,2023-01,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Airsaid,2023-02-15,2023-02,0,3.0,1.0,0.0,0.0,0.0,0.0,1,0
Airsaid,2023-02-15,2023-03,1,7.0,2.0,20.0,0.0,0.0,0.0,1,1
Airsaid,2023-02-15,2023-04,2,5.0,3.0,1.0,0.0,0.0,0.0,1,2
Airsaid,2023-02-15,2023-05,3,0.0,0.0,2.0,0.0,0.0,0.0,1,3
Airsaid,2023-02-15,2023-06,4,0.0,2.0,2.0,0.0,0.0,0.0,1,4
Airsaid,2023-02-15,2023-07,5,1.0,2.0,3.0,0.0,0.0,0.0,1,5
Airsaid,2023-02-15,2023-08,6,4.0,3.0,0.0,0.0,0.0,0.0,1,6
Aletheia-Data,2021-11-07,2021-05,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aletheia-Data,2021-11-07,2021-06,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aletheia-Data,2021-11-07,2021-07,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aletheia-Data,2021-11-07,2021-08,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aletheia-Data,2021-11-07,2021-09,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aletheia-Data,2021-11-07,2021-10,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aletheia-Data,2021-11-07,2021-11,0,0.0,3.0,40.0,0.0,0.0,0.0,1,0
Aletheia-Data,2021-11-07,2021-12,1,0.0,0.0,22.0,0.0,0.0,0.0,1,1
Aletheia-Data,2021-11-07,2022-01,2,0.0,0.0,5.0,0.0,0.0,0.0,1,2
Aletheia-Data,2021-11-07,2022-02,3,3.0,17.0,10.0,0.0,0.0,0.0,1,3
Aletheia-Data,2021-11-07,2022-03,4,0.0,0.0,0.0,0.0,0.0,0.0,1,4
Aletheia-Data,2021-11-07,2022-04,5,0.0,4.0,0.0,0.0,0.0,0.0,1,5
Aletheia-Data,2021-11-07,2022-05,6,0.0,1.0,39.0,0.0,0.0,0.0,1,6
AlmaLinux,2021-02-27,2020-08,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AlmaLinux,2021-02-27,2020-09,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AlmaLinux,2021-02-27,2020-10,-4,0.0,0.0,19.0,0.0,0.0,0.0,0,0
