slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention
apiflask,2021-06-26,2020-12,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
apiflask,2021-06-26,2021-01,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
apiflask,2021-06-26,2021-02,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
apiflask,2021-06-26,2021-03,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
apiflask,2021-06-26,2021-04,-2,0.0,0.0,0.0,0.0,0.0,2.0,0,0
apiflask,2021-06-26,2021-05,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
apiflask,2021-06-26,2021-06,0,1.0,1.0,0.0,0.0,0.0,0.0,1,0
apiflask,2021-06-26,2021-07,1,4.0,1.0,0.0,0.0,0.0,1.0,1,1
apiflask,2021-06-26,2021-08,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2
apiflask,2021-06-26,2021-09,3,0.0,0.0,0.0,1.0,0.0,0.0,1,3
apiflask,2021-06-26,2021-10,4,0.0,0.0,0.0,0.0,0.0,4.0,1,4
apiflask,2021-06-26,2021-11,5,0.0,0.0,0.0,1.0,0.0,1.0,1,5
apiflask,2021-06-26,2021-12,6,0.0,0.0,0.0,1.0,0.0,1.0,1,6
boardgameio,2021-10-04,2021-04,-6,0.0,0.0,0.0,0.0,0.0,2.0,0,0
boardgameio,2021-10-04,2021-05,-5,0.0,0.0,0.0,0.0,0.0,1.0,0,0
boardgameio,2021-10-04,2021-06,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
boardgameio,2021-10-04,2021-07,-3,0.0,0.0,0.0,0.0,0.0,1.0,0,0
boardgameio,2021-10-04,2021-08,-2,0.0,0.0,18.0,5.0,0.0,3.0,0,0
boardgameio,2021-10-04,2021-09,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
boardgameio,2021-10-04,2021-10,0,27.0,3.0,0.0,0.0,0.0,1.0,1,0
boardgameio,2021-10-04,2021-11,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1
boardgameio,2021-10-04,2021-12,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2
boardgameio,2021-10-04,2022-01,3,0.0,0.0,0.0,0.0,0.0,1.0,1,3
boardgameio,2021-10-04,2022-02,4,0.0,0.0,0.0,0.0,0.0,0.0,1,4
boardgameio,2021-10-04,2022-03,5,0.0,0.0,0.0,0.0,0.0,1.0,1,5
boardgameio,2021-10-04,2022-04,6,0.0,0.0,0.0,0.0,0.0,0.0,1,6
bugbakery,2021-12-01,2021-06,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bugbakery,2021-12-01,2021-07,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bugbakery,2021-12-01,2021-08,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bugbakery,2021-12-01,2021-09,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bugbakery,2021-12-01,2021-10,-2,0.0,0.0,0.0,1.0,0.0,0.0,0,0
bugbakery,2021-12-01,2021-11,-1,0.0,0.0,0.0,3.0,0.0,0.0,0,0
bugbakery,2021-12-01,2021-12,0,0.0,1.0,0.0,1.0,0.0,1.0,1,0
bugbakery,2021-12-01,2022-01,1,0.0,0.0,0.0,3.0,0.0,1.0,1,1
bugbakery,2021-12-01,2022-02,2,0.0,0.0,0.0,4.0,0.0,2.0,1,2
bugbakery,2021-12-01,2022-03,3,0.0,1.0,0.0,1.0,0.0,1.0,1,3
bugbakery,2021-12-01,2022-04,4,0.0,0.0,0.0,0.0,0.0,0.0,1,4
bugbakery,2021-12-01,2022-05,5,0.0,0.0,0.0,0.0,0.0,0.0,1,5
bugbakery,2021-12-01,2022-06,6,0.0,0.0,0.0,0.0,0.0,0.0,1,6
cpeditor,2020-01-19,2019-07,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cpeditor,2020-01-19,2019-08,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cpeditor,2020-01-19,2019-09,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cpeditor,2020-01-19,2019-10,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cpeditor,2020-01-19,2019-11,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cpeditor,2020-01-19,2019-12,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
cpeditor,2020-01-19,2020-01,0,11.0,1.0,0.0,0.0,0.0,0.0,1,0
cpeditor,2020-01-19,2020-02,1,0.0,2.0,4.0,0.0,0.0,1.0,1,1
cpeditor,2020-01-19,2020-03,2,4.0,1.0,11.0,0.0,0.0,0.0,1,2
cpeditor,2020-01-19,2020-04,3,0.0,0.0,17.0,0.0,0.0,0.0,1,3
cpeditor,2020-01-19,2020-05,4,0.0,0.0,15.0,2.0,0.0,0.0,1,4
cpeditor,2020-01-19,2020-06,5,0.0,0.0,16.0,4.0,0.0,0.0,1,5
