slug,first_time,cur_month,index,comments,amounts
100devs,,NaT,0,0.0,0.0
100devs,,NaT,1,0.0,0.0
100devs,2021-03-26,2021-05,2,0.0,1.0
100devs,2021-03-26,2021-06,3,14.0,60.0
100devs,2021-03-26,2021-07,4,1.0,1.0
100devs,2021-03-26,2021-08,5,0.0,20.0
100devs,2021-03-26,2021-09,6,0.0,1.0
24pullrequests,,NaT,0,0.0,0.0
24pullrequests,,NaT,1,0.0,0.0
24pullrequests,,NaT,2,0.0,0.0
24pullrequests,,NaT,3,0.0,0.0
24pullrequests,,NaT,4,0.0,0.0
24pullrequests,,NaT,5,0.0,0.0
24pullrequests,,NaT,6,0.0,0.0
314-education,2025-01-03,2025-01,0,0.0,2.0
314-education,,NaT,1,0.0,0.0
314-education,,NaT,2,0.0,0.0
314-education,,NaT,3,0.0,0.0
314-education,,NaT,4,0.0,0.0
314-education,,NaT,5,0.0,0.0
314-education,,NaT,6,0.0,0.0
abap-observability-tools,,NaT,0,0.0,0.0
abap-observability-tools,,NaT,1,0.0,0.0
abap-observability-tools,,NaT,2,0.0,0.0
abap-observability-tools,2020-04-17,2020-07,3,0.0,2.0
abap-observability-tools,,NaT,4,0.0,0.0
abap-observability-tools,,NaT,5,0.0,0.0
abap-observability-tools,,NaT,6,0.0,0.0
abelljs,,NaT,0,0.0,0.0
abelljs,,NaT,1,0.0,0.0
abelljs,,NaT,2,0.0,0.0
abelljs,,NaT,3,0.0,0.0
abelljs,2020-05-22,2020-09,4,19.0,2.0
abelljs,2020-05-22,2020-10,5,12.0,1.0
abelljs,,NaT,6,0.0,0.0
AccelAI,,NaT,0,0.0,0.0
AccelAI,,NaT,1,0.0,0.0
AccelAI,,NaT,2,0.0,0.0
AccelAI,,NaT,3,0.0,0.0
AccelAI,,NaT,4,0.0,0.0
AccelAI,2018-06-13,2018-11,5,0.0,1.0
AccelAI,,NaT,6,0.0,0.0
accounts-js,2019-10-18,2019-10,0,6.0,1.0
accounts-js,2019-10-18,2019-11,1,1.0,1.0
accounts-js,2019-10-18,2019-12,2,0.0,1.0
accounts-js,2019-10-18,2020-01,3,10.0,2.0
accounts-js,,NaT,4,0.0,0.0
accounts-js,,NaT,5,0.0,0.0
accounts-js,,NaT,6,0.0,0.0
AcheronProject,,NaT,0,0.0,0.0
AcheronProject,,NaT,1,0.0,0.0
AcheronProject,,NaT,2,0.0,0.0
AcheronProject,,NaT,3,0.0,0.0
AcheronProject,,NaT,4,0.0,0.0
AcheronProject,,NaT,5,0.0,0.0
AcheronProject,,NaT,6,0.0,0.0
activeadmin,2016-01-21,2016-01,0,32.0,1.0
activeadmin,,NaT,1,0.0,0.0
activeadmin,,NaT,2,0.0,0.0
activeadmin,,NaT,3,0.0,0.0
activeadmin,,NaT,4,0.0,0.0
activeadmin,,NaT,5,0.0,0.0
activeadmin,,NaT,6,0.0,0.0
ActivityWatch,2015-07-03,2015-07,0,0.0,2.0
ActivityWatch,,NaT,1,0.0,0.0
ActivityWatch,,NaT,2,0.0,0.0
ActivityWatch,,NaT,3,0.0,0.0
ActivityWatch,,NaT,4,0.0,0.0
ActivityWatch,,NaT,5,0.0,0.0
ActivityWatch,2015-07-03,2016-01,6,13.0,10.0
moscajs,,NaT,0,0.0,0.0
moscajs,,NaT,1,0.0,0.0
moscajs,,NaT,2,0.0,0.0
moscajs,,NaT,3,0.0,0.0
moscajs,2023-05-03,2023-09,4,0.0,8.0
moscajs,2023-05-03,2023-10,5,1.0,1.0
moscajs,2023-05-03,2023-11,6,2.0,2.0
AFLplusplus,,NaT,0,0.0,0.0
AFLplusplus,,NaT,1,0.0,0.0
AFLplusplus,,NaT,2,0.0,0.0
AFLplusplus,,NaT,3,0.0,0.0
AFLplusplus,,NaT,4,0.0,0.0
AFLplusplus,2019-06-30,2019-11,5,17.0,1.0
AFLplusplus,,NaT,6,0.0,0.0
AfricArxiv,2018-07-03,2018-07,0,0.0,1.0
AfricArxiv,,NaT,1,0.0,0.0
AfricArxiv,,NaT,2,0.0,0.0
AfricArxiv,,NaT,3,0.0,0.0
AfricArxiv,,NaT,4,0.0,0.0
AfricArxiv,,NaT,5,0.0,0.0
AfricArxiv,2018-07-03,2019-01,6,5.0,2.0
aiogram,2020-01-03,2020-01,0,5.0,1.0
aiogram,2020-01-03,2020-02,1,1.0,1.0
aiogram,,NaT,2,0.0,0.0
aiogram,,NaT,3,0.0,0.0
aiogram,,NaT,4,0.0,0.0
aiogram,2020-01-03,2020-06,5,0.0,1.0
aiogram,,NaT,6,0.0,0.0
AlchemyCMS,,NaT,0,0.0,0.0
AlchemyCMS,,NaT,1,0.0,0.0
AlchemyCMS,,NaT,2,0.0,0.0
AlchemyCMS,,NaT,3,0.0,0.0
AlchemyCMS,2024-05-02,2024-09,4,5.0,1.0
AlchemyCMS,,NaT,5,0.0,0.0
AlchemyCMS,2024-05-02,2024-11,6,3.0,1.0
Aletheia-Data,,NaT,0,0.0,0.0
Aletheia-Data,2021-11-07,2021-12,1,3.0,17.0
Aletheia-Data,,NaT,2,0.0,0.0
Aletheia-Data,2021-11-07,2022-02,3,0.0,4.0
Aletheia-Data,2021-11-07,2022-03,4,0.0,1.0
Aletheia-Data,,NaT,5,0.0,0.0
Aletheia-Data,,NaT,6,0.0,0.0
alfio-event,,NaT,0,0.0,0.0
alfio-event,,NaT,1,0.0,0.0
alfio-event,,NaT,2,0.0,0.0
alfio-event,,NaT,3,0.0,0.0
alfio-event,2024-05-15,2024-09,4,6.0,2.0
alfio-event,2024-05-15,2024-10,5,1.0,1.0
alfio-event,2024-05-15,2024-11,6,4.0,4.0
alire-project,,NaT,0,0.0,0.0
alire-project,,NaT,1,0.0,0.0
alire-project,,NaT,2,0.0,0.0
alire-project,2020-04-06,2020-07,3,0.0,1.0
alire-project,2020-04-06,2020-08,4,0.0,1.0
alire-project,,NaT,5,0.0,0.0
alire-project,2020-04-06,2020-10,6,0.0,1.0
allthingslinux,,NaT,0,0.0,0.0
allthingslinux,,NaT,1,0.0,0.0
allthingslinux,,NaT,2,0.0,0.0
allthingslinux,,NaT,3,0.0,0.0
allthingslinux,2024-05-10,2024-09,4,0.0,1.0
allthingslinux,2024-05-10,2024-10,5,0.0,3.0
