slug,first_time,cur_month,index,comments,amounts
100devs,2021-03-26,2021-03,0,0.0,1.0
100devs,2021-03-26,2021-04,1,14.0,60.0
100devs,2021-03-26,2021-05,2,1.0,1.0
100devs,2021-03-26,2021-06,3,0.0,20.0
100devs,2021-03-26,2021-07,4,0.0,1.0
100devs,2021-03-26,2021-08,5,4.0,6.0
100devs,2021-03-26,2021-09,6,0.0,0.0
24pullrequests,2013-12-27,2013-12,0,3.0,1.0
24pullrequests,2013-12-27,2014-01,1,0.0,0.0
24pullrequests,2013-12-27,2014-02,2,0.0,0.0
24pullrequests,2013-12-27,2014-03,3,0.0,0.0
24pullrequests,2013-12-27,2014-04,4,0.0,0.0
24pullrequests,2013-12-27,2014-05,5,0.0,0.0
24pullrequests,2013-12-27,2014-06,6,0.0,0.0
314-education,2025-01-03,2025-01,0,0.0,2.0
314-education,2025-01-03,2025-02,1,0.0,0.0
314-education,2025-01-03,2025-03,2,0.0,0.0
314-education,2025-01-03,2025-04,3,0.0,0.0
314-education,2025-01-03,2025-05,4,0.0,0.0
314-education,2025-01-03,2025-06,5,0.0,0.0
314-education,2025-01-03,2025-07,6,0.0,0.0
abap-observability-tools,2020-04-17,2020-04,0,0.0,2.0
abap-observability-tools,2020-04-17,2020-05,1,0.0,0.0
abap-observability-tools,2020-04-17,2020-06,2,0.0,0.0
abap-observability-tools,2020-04-17,2020-07,3,0.0,0.0
abap-observability-tools,2020-04-17,2020-08,4,0.0,0.0
abap-observability-tools,2020-04-17,2020-09,5,0.0,0.0
abap-observability-tools,2020-04-17,2020-10,6,2.0,2.0
abelljs,2020-05-22,2020-05,0,19.0,2.0
abelljs,2020-05-22,2020-06,1,12.0,1.0
abelljs,2020-05-22,2020-07,2,0.0,0.0
abelljs,2020-05-22,2020-08,3,28.0,6.0
abelljs,2020-05-22,2020-09,4,8.0,3.0
abelljs,2020-05-22,2020-10,5,0.0,0.0
abelljs,2020-05-22,2020-11,6,1.0,1.0
AccelAI,2018-06-13,2018-06,0,0.0,1.0
AccelAI,2018-06-13,2018-07,1,0.0,0.0
AccelAI,2018-06-13,2018-08,2,0.0,0.0
AccelAI,2018-06-13,2018-09,3,0.0,0.0
AccelAI,2018-06-13,2018-10,4,1.0,1.0
AccelAI,2018-06-13,2018-11,5,0.0,0.0
AccelAI,2018-06-13,2018-12,6,0.0,0.0
accounts-js,2019-10-18,2019-10,0,18.0,1.0
accounts-js,2019-10-18,2019-11,1,0.0,0.0
accounts-js,2019-10-18,2019-12,2,0.0,0.0
accounts-js,2019-10-18,2020-01,3,6.0,1.0
accounts-js,2019-10-18,2020-02,4,1.0,1.0
accounts-js,2019-10-18,2020-03,5,0.0,1.0
accounts-js,2019-10-18,2020-04,6,10.0,2.0
AcheronProject,2020-10-12,2020-10,0,0.0,1.0
AcheronProject,2020-10-12,2020-11,1,0.0,0.0
AcheronProject,2020-10-12,2020-12,2,0.0,0.0
AcheronProject,2020-10-12,2021-01,3,0.0,0.0
AcheronProject,2020-10-12,2021-02,4,0.0,0.0
AcheronProject,2020-10-12,2021-03,5,0.0,0.0
AcheronProject,2020-10-12,2021-04,6,0.0,0.0
activeadmin,2016-01-21,2016-01,0,32.0,1.0
activeadmin,2016-01-21,2016-02,1,0.0,0.0
activeadmin,2016-01-21,2016-03,2,0.0,0.0
activeadmin,2016-01-21,2016-04,3,0.0,0.0
activeadmin,2016-01-21,2016-05,4,0.0,0.0
activeadmin,2016-01-21,2016-06,5,0.0,0.0
activeadmin,2016-01-21,2016-07,6,0.0,0.0
ActivityWatch,2015-07-03,2015-07,0,13.0,10.0
ActivityWatch,2015-07-03,2015-08,1,0.0,0.0
ActivityWatch,2015-07-03,2015-09,2,0.0,0.0
ActivityWatch,2015-07-03,2015-10,3,0.0,0.0
ActivityWatch,2015-07-03,2015-11,4,2.0,4.0
ActivityWatch,2015-07-03,2015-12,5,0.0,0.0
ActivityWatch,2015-07-03,2016-01,6,0.0,2.0
moscajs,2023-05-03,2023-05,0,0.0,8.0
moscajs,2023-05-03,2023-06,1,1.0,1.0
moscajs,2023-05-03,2023-07,2,2.0,2.0
moscajs,2023-05-03,2023-08,3,0.0,0.0
moscajs,2023-05-03,2023-09,4,11.0,1.0
moscajs,2023-05-03,2023-10,5,5.0,1.0
moscajs,2023-05-03,2023-11,6,0.0,0.0
AFLplusplus,2019-06-30,2019-06,0,17.0,1.0
AFLplusplus,2019-06-30,2019-07,1,0.0,0.0
AFLplusplus,2019-06-30,2019-08,2,0.0,0.0
