slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention
100devs,2021-03-26,2020-09,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2020-10,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2020-11,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2020-12,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2021-01,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2021-02,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100devs,2021-03-26,2021-03,0,0.0,1.0,11.0,0.0,1.0,0.0,1,0
100devs,2021-03-26,2021-04,1,14.0,60.0,53.0,0.0,61.0,0.0,1,1
100devs,2021-03-26,2021-05,2,1.0,1.0,3.0,0.0,1.0,0.0,1,2
100devs,2021-03-26,2021-06,3,0.0,20.0,10.0,0.0,20.0,0.0,1,3
100devs,2021-03-26,2021-07,4,0.0,1.0,2.0,0.0,1.0,0.0,1,4
100devs,2021-03-26,2021-08,5,4.0,6.0,1.0,0.0,1.0,1.0,1,5
100devs,2021-03-26,2021-09,6,0.0,0.0,0.0,0.0,0.0,0.0,1,6
314-education,2025-01-03,2024-07,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
314-education,2025-01-03,2024-08,-5,0.0,0.0,1.0,0.0,0.0,0.0,0,0
314-education,2025-01-03,2024-09,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
314-education,2025-01-03,2024-10,-3,0.0,0.0,14.0,0.0,0.0,0.0,0,0
314-education,2025-01-03,2024-11,-2,0.0,0.0,8.0,0.0,0.0,0.0,0,0
314-education,2025-01-03,2024-12,-1,0.0,0.0,8.0,0.0,0.0,0.0,0,0
314-education,2025-01-03,2025-01,0,0.0,2.0,1.0,0.0,1.0,0.0,1,0
314-education,2025-01-03,2025-02,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1
314-education,2025-01-03,2025-03,2,0.0,0.0,0.0,0.0,1.0,0.0,1,2
314-education,2025-01-03,2025-04,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3
314-education,2025-01-03,2025-05,4,0.0,0.0,0.0,0.0,0.0,0.0,1,4
314-education,2025-01-03,2025-06,5,0.0,0.0,0.0,0.0,0.0,0.0,1,5
314-education,2025-01-03,2025-07,6,0.0,0.0,0.0,0.0,0.0,0.0,1,6
allthingslinux,2024-05-10,2023-11,-6,0.0,0.0,0.0,0.0,0.0,1.0,0,0
allthingslinux,2024-05-10,2023-12,-5,0.0,0.0,0.0,0.0,0.0,3.0,0,0
allthingslinux,2024-05-10,2024-01,-4,0.0,0.0,5.0,0.0,0.0,0.0,0,0
allthingslinux,2024-05-10,2024-02,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
allthingslinux,2024-05-10,2024-03,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
allthingslinux,2024-05-10,2024-04,-1,0.0,0.0,0.0,0.0,0.0,1.0,0,0
allthingslinux,2024-05-10,2024-05,0,0.0,1.0,0.0,0.0,1.0,0.0,1,0
allthingslinux,2024-05-10,2024-06,1,0.0,3.0,11.0,0.0,3.0,0.0,1,1
allthingslinux,2024-05-10,2024-07,2,0.0,4.0,13.0,0.0,4.0,0.0,1,2
allthingslinux,2024-05-10,2024-08,3,0.0,0.0,21.0,0.0,0.0,0.0,1,3
allthingslinux,2024-05-10,2024-09,4,6.0,7.0,13.0,0.0,1.0,0.0,1,4
allthingslinux,2024-05-10,2024-10,5,11.0,9.0,13.0,0.0,1.0,0.0,1,5
allthingslinux,2024-05-10,2024-11,6,5.0,5.0,69.0,0.0,0.0,0.0,1,6
astropy,2012-11-27,2012-05,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
astropy,2012-11-27,2012-06,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
astropy,2012-11-27,2012-07,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
astropy,2012-11-27,2012-08,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
astropy,2012-11-27,2012-09,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
astropy,2012-11-27,2012-10,-1,0.0,0.0,10.0,0.0,0.0,0.0,0,0
astropy,2012-11-27,2012-11,0,1.0,1.0,2.0,0.0,0.0,0.0,1,0
astropy,2012-11-27,2012-12,1,19.0,3.0,0.0,0.0,0.0,0.0,1,1
astropy,2012-11-27,2013-01,2,14.0,1.0,0.0,0.0,1.0,0.0,1,2
astropy,2012-11-27,2013-02,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3
astropy,2012-11-27,2013-03,4,9.0,1.0,1.0,0.0,1.0,0.0,1,4
astropy,2012-11-27,2013-04,5,0.0,0.0,9.0,0.0,0.0,0.0,1,5
astropy,2012-11-27,2013-05,6,0.0,0.0,1.0,0.0,0.0,0.0,1,6
async-rs,2019-07-21,2019-01,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
async-rs,2019-07-21,2019-02,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
async-rs,2019-07-21,2019-03,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
async-rs,2019-07-21,2019-04,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
async-rs,2019-07-21,2019-05,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
async-rs,2019-07-21,2019-06,-1,0.0,0.0,22.0,0.0,0.0,0.0,0,0
async-rs,2019-07-21,2019-07,0,1.0,1.0,4.0,0.0,0.0,0.0,1,0
async-rs,2019-07-21,2019-08,1,4.0,5.0,31.0,0.0,1.0,0.0,1,1
async-rs,2019-07-21,2019-09,2,4.0,4.0,42.0,4.0,0.0,0.0,1,2
async-rs,2019-07-21,2019-10,3,8.0,2.0,3.0,3.0,3.0,0.0,1,3
async-rs,2019-07-21,2019-11,4,0.0,0.0,25.0,5.0,4.0,0.0,1,4
async-rs,2019-07-21,2019-12,5,3.0,1.0,15.0,2.0,0.0,0.0,1,5
async-rs,2019-07-21,2020-01,6,0.0,0.0,26.0,0.0,0.0,0.0,1,6
bokeh,2024-12-30,2024-06,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bokeh,2024-12-30,2024-07,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bokeh,2024-12-30,2024-08,-4,0.0,0.0,0.0,0.0,2.0,0.0,0,0
bokeh,2024-12-30,2024-09,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
bokeh,2024-12-30,2024-10,-2,0.0,0.0,0.0,0.0,1.0,0.0,0,0
