slug,first_time,cur_month,index,comments,amounts,commits_count,releases_count,pulls_count,discussions_count,Intervention,Time_after_intervention
abelljs,2020-05-22,2019-11,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
abelljs,2020-05-22,2019-12,-5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
abelljs,2020-05-22,2020-01,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
abelljs,2020-05-22,2020-02,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
abelljs,2020-05-22,2020-03,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
abelljs,2020-05-22,2020-04,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
abelljs,2020-05-22,2020-05,0,19.0,2.0,0.0,7.0,0.0,0.0,1,0
abelljs,2020-05-22,2020-06,1,12.0,1.0,0.0,1.0,0.0,0.0,1,1
abelljs,2020-05-22,2020-07,2,0.0,0.0,12.0,1.0,0.0,0.0,1,2
abelljs,2020-05-22,2020-08,3,28.0,6.0,29.0,1.0,0.0,0.0,1,3
abelljs,2020-05-22,2020-09,4,8.0,3.0,25.0,3.0,0.0,0.0,1,4
abelljs,2020-05-22,2020-10,5,0.0,0.0,13.0,7.0,0.0,0.0,1,5
abelljs,2020-05-22,2020-11,6,1.0,1.0,21.0,2.0,0.0,0.0,1,6
amethyst,2016-08-03,2016-02,-6,0.0,0.0,0.0,0.0,0.0,0.0,0,0
amethyst,2016-08-03,2016-03,-5,0.0,0.0,0.0,1.0,0.0,0.0,0,0
amethyst,2016-08-03,2016-04,-4,0.0,0.0,0.0,0.0,0.0,0.0,0,0
amethyst,2016-08-03,2016-05,-3,0.0,0.0,0.0,0.0,0.0,0.0,0,0
amethyst,2016-08-03,2016-06,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
amethyst,2016-08-03,2016-07,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
amethyst,2016-08-03,2016-08,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
amethyst,2016-08-03,2016-09,1,0.0,0.0,0.0,1.0,0.0,0.0,1,1
amethyst,2016-08-03,2016-10,2,0.0,0.0,0.0,0.0,0.0,0.0,1,2
amethyst,2016-08-03,2016-11,3,0.0,0.0,0.0,0.0,0.0,0.0,1,3
amethyst,2016-08-03,2016-12,4,0.0,0.0,0.0,0.0,0.0,0.0,1,4
amethyst,2016-08-03,2017-01,5,0.0,0.0,0.0,0.0,0.0,0.0,1,5
amethyst,2016-08-03,2017-02,6,0.0,0.0,0.0,2.0,0.0,0.0,1,6
anticensority,2017-06-01,2016-12,-6,0.0,0.0,0.0,1.0,0.0,0.0,0,0
anticensority,2017-06-01,2017-01,-5,0.0,0.0,39.0,1.0,0.0,0.0,0,0
anticensority,2017-06-01,2017-02,-4,0.0,0.0,2.0,1.0,0.0,0.0,0,0
anticensority,2017-06-01,2017-03,-3,0.0,0.0,1.0,0.0,0.0,0.0,0,0
anticensority,2017-06-01,2017-04,-2,0.0,0.0,2.0,0.0,0.0,0.0,0,0
anticensority,2017-06-01,2017-05,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
anticensority,2017-06-01,2017-06,0,5.0,1.0,33.0,1.0,0.0,0.0,1,0
